﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
494,챔프,2011.9.7,3850241300,535657,535657,301,19683,"(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스",(주)쇼박스,12세이상관람가,드라마,이환경,차태현,김수정,이환경,1.05016E+11,26254051293,2309055500,91431950670,"(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스",3850241300,3850241300,3850241300,3850241300,차태현,1.72388E+11,19154232238,594260900,53800771400,김수정,3850241300,3850241300,3850241300,3850241300
837,천국의 우편배달부,2009.11.12,637892500,95060,95060,105,3819,(주)삼화네트웍스,씨제이엔터테인먼트,전체관람가,"멜로/로맨스,판타지",이형민,한효주,영웅재중,이형민,637892500,637892500,637892500,637892500,(주)삼화네트웍스,1248813500,416271166.7,209955500,637892500,한효주,20561922390,6853974130,637892500,16155829131,영웅재중,637892500,637892500,637892500,637892500
397,천군,2005.7.15,5852391000,933147,933147,186,18850,(주)싸이더스,(주)쇼박스,15세관람가,액션,민준기,박중훈,최경원,민준기,5852391000,5852391000,5852391000,5852391000,(주)싸이더스,1.56245E+11,7102062500,386192500,32373120927,박중훈,29474762000,4912460333,362910000,9860797500,최경원,17020011300,5673337100,877984800,10289635500
602,천년여우 여우비,2007.1.25,2496355500,460925,460925,117,9897,"선우애니메이션,(주)옐로우필름",씨제이엔터테인먼트,전체관람가,"애니메이션,가족,판타지",이성강,손예진,공형진,이성강,2496355500,2496355500,2496355500,2496355500,"선우애니메이션,(주)옐로우필름",2496355500,2496355500,2496355500,2496355500,손예진,1.51102E+11,18887702842,2027581239,44395967609,공형진,4244266000,1414755333,706033000,2496355500
788,천년학,2007.4.12,847948500,138123,138123,189,10313,영화사키노투(주),(주)프라임엔터테인먼트,12세이상관람가,드라마,임권택,조재현,오정해,임권택,3756272100,939068025,362910000,1470927500,영화사키노투(주),847948500,847948500,847948500,847948500,조재현,24077100779,6019275195,255508579,20597497600,오정해,847948500,847948500,847948500,847948500
658,천하장사 마돈나,2006.8.31,3552058700,307445,575315,156,9467,"(주)싸이더스,반짝반짝영화사(주)",씨제이엔터테인먼트,15세관람가,"드라마,코미디","이해영,이해준",류덕환,백윤식,"이해영,이해준",5204619900,2602309950,1652561200,3552058700,"(주)싸이더스,반짝반짝영화사(주)",5204619900,2602309950,1652561200,3552058700,류덕환,13058870558,1865552937,230047000,3552058700,백윤식,26405680415,3772240059,460596500,8780178611
680,천하장사 마돈나,2006.8.31,1652561200,267870,267870,172,6802,"(주)싸이더스,반짝반짝영화사(주)",씨제이엔터테인먼트,15세관람가,"드라마,코미디","이해영,이해준",류덕환,백윤식,"이해영,이해준",5204619900,2602309950,1652561200,3552058700,"(주)싸이더스,반짝반짝영화사(주)",5204619900,2602309950,1652561200,3552058700,류덕환,13058870558,1865552937,230047000,3552058700,백윤식,26405680415,3772240059,460596500,8780178611
844,철가방 우수氏,2012.11.22,604032500,92404,92404,119,3951,(주)대길이에스,씨제이이앤엠(주),12세이상관람가,드라마,윤학렬,최수종,기주봉,윤학렬,604032500,604032500,604032500,604032500,(주)대길이에스,604032500,604032500,604032500,604032500,최수종,604032500,604032500,604032500,604032500,기주봉,604032500,604032500,604032500,604032500
271,청담보살,2009.11.11,9599189500,1308810,1308810,387,42841,(주)전망좋은 영화사,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,코미디",김진영,임창정,박예진,김진영,37239145254,7447829051,2248238000,19174920500,(주)전망좋은 영화사,39673534000,9918383500,2248238000,19174920500,임창정,65384561005,6538456101,1899792000,13466476000,박예진,10061214500,5030607250,462025000,9599189500
555,청연,2005.12.29,3106648400,496003,496003,164,9323,코리아픽쳐스(주),코리아픽쳐스(주),12세관람가,드라마,윤종찬,장진영,김주혁,윤종찬,14932582400,7466291200,3106648400,11825934000,코리아픽쳐스(주),3106648400,3106648400,3106648400,3106648400,장진영,6718327900,3359163950,3106648400,3611679500,김주혁,22466463439,4493292688,2027581239,12062180000
