pro_rank,title,open_date,profit,percent,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor
272,잠복근무,2005.3.17,9590663500,1.00%,9590663500,1533225,1533225,214,32277,"(주)마인엔터테인먼트 ,시리우스픽쳐스(주)",(주)쇼박스,15세관람가,"코미디,액션",박광춘,"김원진,공유,김선아,하정우,이범수,남상미,강경희,김회근,신경하,김명조,홍수아,박우규,김현진,황의천,나상문,남경화,조한영,진수애,김덕겸,최미진,장지영,박상현,윤지원,정은미,양은성,김종명,안형준,김지숙,김지우,김상호,박상면,김선영,정만식"
273,챔피언,2018.5.1,9471138230,0.50%,9471138230,1128774,1128774,874,47357,(주)코코너,"워너브러더스 코리아(주)",12세이상관람가,드라마,김용완,"마동석,권율,한예리,박성일,유지연"
274,"당신, 거기 있어줄래요",2016.12.14,9362086648,0.50%,9362086648,1168782,1168782,767,41405,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나,이유미,윤진영"
275,간기남,2012.4.11,9356404500,0.70%,9356404500,1246185,1246185,396,38155,"(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",(주)쇼박스,청소년관람불가,"코미디,스릴러",김형준,"박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성"
276,"미스터 고",2013.7.17,9337976000,0.50%,9337976000,1328888,1328888,840,38263,"(주)덱스터필름,(주)광대무변,(주)컨텐츠아이",(주)쇼박스,12세이상관람가,"코미디,드라마",김용화,"서교,성동일,이훈민,임동욱,임승묵,임왕섭,천재성,최인호,박정훈,배지현,조재윤,변희봉,김성주,김인우,김희원,김태준,김고은"
277,"주먹이 운다(Crying Fist)",2005.4.1,9322812000,1.00%,9322812000,1462972,1462972,249,32964,"(주)브라보엔터테인먼트,시오필름(주)",쇼이스트(주),15세관람가,드라마,류승완,"최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면"
278,간첩,2012.9.20,9316548500,0.50%,9316548500,1310895,1310895,576,41726,(주)영화사울림,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디,액션",우민호,"김명민,염정아,유해진,변희봉,정겨운,정만식,이승호,오나라,천보근,박진우,장호준,정병두,조민호,최두선,박유영,박현수,서규선,박일목,조영진,김민재,오광록"
279,"심야의 F.M.",2010.10.14,9179188500,0.70%,9179188500,1208310,1208310,423,50429,"(주)주말의 명화,(주)홍필름",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"스릴러,범죄",김상만,"수애,유지태,정혜영,김동협,제정훈,조영천,김유화,신다은,김보라,최다연,정유미,최용준,김수홍,김윤태,정만식,김규선"
280,"찌라시: 위험한 소문",2014.2.20,9111748087,0.50%,9111748087,1221427,1221427,560,37426,(주)영화사수박,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",김광식,"김강우,고창석,박성웅,이진호,이현민,이현민,박정우,박진수,서병덕,임준혁,장한얼,신현수,정문구,정승아,정자영,유지연,정희중,조아라,윤석진,고태영,이경훈,최선규,이상미,이성재,이정호,이종혁,이준혁,이지은,김도형,김민호,김범준,김진성,문호진,민정기,이채은,정진영,진선규,장광,김의성,배용근,최미라,고원희,박형수"
281,하루,2017.6.15,9072737842,0.50%,9072737842,1129609,1129609,781,45808,(주)라인필름,CGV아트하우스,15세이상관람가,스릴러,조선호,"김명민,변요한,유재명,조은형,신혜선,박정민,이승민"
