pro_rank,title,open_date,profit,percent,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor
1,명량,2014.7.30,132998319910,7.30%,132998319910,17245808,17245808,1587,178725,(주)빅스톤픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,액션",김한민,"최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,김태훈,이승준,오타니 료헤이,박보검,박원우,서성광,오명훈,유명환,윤희경,이윤기,정수남,정순태,정의석,김원해,이해영,장준녕,김길동,김강일,강태영,하형원,한상대,김동원,김민석,김민식,김재철,김준형,김현중,박선용,박노식,최덕문,조복래,문영동,이주실"
2,"신과함께-죄와 벌",2017.12.20,115706188137,6.50%,115706188137,14411525,14411525,1912,213258,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준"
3,국제시장,2014.12.17,110933981730,6.40%,110933981730,14262198,14262198,1044,212668,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수,김근영"
4,베테랑,2015.8.5,105169264250,6.10%,105169264250,13414200,13414200,1115,199240,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수,고규필"
5,"신과함께-인과 연",2018.8.1,101795673609,5.70%,101795673609,12167147,12167147,2235,171788,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준"
6,암살,2015.7.22,98463522781,5.70%,98463522781,12705783,12705783,1519,175191,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원"
7,택시운전사,2017.8.2,95868830649,5.40%,95868830649,12189195,12189195,1906,184147,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,서정우,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,문광식,차순배,김대현"
8,부산행,2016.7.20,93042352648,5.40%,93042352648,11549116,11549116,1788,150494,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,마동석,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현"
9,도둑들,2012.7.25,91872987000,6.90%,91872987000,12733705,12733705,1091,145122,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,범죄",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,서영주,장동,장현문,정윤헌,조상원,한규석,홍원기,김영민,최덕문,최진호,장준녕,예수정"
10,"7번방의 선물",2013.1.23,91431950670,5.00%,91431950670,12811213,12811213,866,166817,"(주)화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수"
11,"광해, 왕이 된 남자",2012.9.13,88864551769,4.90%,88908642769,12316625,12323408,1001,203403,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"사극,드라마",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱"
12,변호인,2013.12.18,82871781800,4.60%,82871781800,11374618,11374618,925,152265,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,양우석,"송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이현정,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영"
13,해운대,2009.7.22,81025004000,8.20%,81025004000,11324433,11324433,764,154277,(주)제이케이필름,씨제이엔터테인먼트,12세이상관람가,"액션,드라마,어드벤처",윤제균,"설경구,하지원,박중훈,엄정화,이민기,강대규,김원영,김유빈,신정원,성유경,박재홍,황인준,나승현,김인호,근휘,김재경,장원준,임동우,김정곤,정종원,이지애,이태영,최재섭,장명갑,지대한,천보근,박영수"
14,검사외전,2016.2.3,77319445264,4.40%,77319445264,9707158,9707158,1812,153521,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준,김영"
15,설국열차,2013.8.1,67011377000,3.70%,67011377000,9350194,9350194,1128,124856,"(주)모호필름,오퍼스픽쳐스",씨제이이앤엠(주),15세이상관람가,"SF,액션",봉준호,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬"
16,"왕의 남자",2005.12.29,66014775400,7.10%,66014775400,10513615,10513615,313,111149,"(주)씨네월드,(주)이글픽쳐스",(주)시네마서비스,15세이상관람가,드라마,이준익,"감우성,이준기,유해진,정진영,박영수,강성연,이건우,이동수,이동헌,유효정,윤준식,박성호,김주홍,이정민,김윤정,장항선,정석용,신정근,우현,정대용,최일화,윤주상"
17,관상,2013.9.11,66007533500,3.60%,66007533500,9135540,9135540,1240,125103,"(주)주피터필름,(주)쇼박스",(주)쇼박스,15세이상관람가,"사극,드라마",한재림,"송강호,이정재,백윤식,조정석,이종석,김혜수,신기원,윤종구,윤희원,이도엽,권영각,김길동,정준식,조훈휘,표유신,하정수,한만영,노준표,문혜진,박진우,전신환,김강현,유재명,김의성,정대용,김근영"
18,괴물,2006.7.27,64802996000,7.00%,64802996000,10602417,10602417,647,101351,영화사청어람(주),(주)쇼박스,12세관람가,"SF,가족,드라마",봉준호,"송강호,변희봉,박해일,배두나,고아성,오달수,박노식,라미란,고수희,윤제문,김뢰하,고창석,박진우,김학선,신현종,신승리,조덕제,조진영,김창렬,김병훈,이재응,이훈진,정강희,김대근,김효선,김종준,김다영,이왕우,유승목,손진호,권병길"
19,공조,2017.1.18,63783051326,3.60%,63783051326,7817618,7817618,1392,142989,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘,박형수,서은지,신유철,이재남,공정환,김준한,신문성"
20,"수상한 그녀",2014.1.22,62697419249,3.50%,62697419249,8656527,8656527,1027,136951,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",씨제이이앤엠(주),15세이상관람가,드라마,황동혁,"심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언"
21,히말라야,2015.12.16,60175111015,3.50%,60175111015,7759709,7759709,1095,142714,(주)제이케이필름,씨제이이앤엠(주),12세이상관람가,드라마,이석훈,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률"
22,"해적: 바다로 간 산적",2014.8.6,58960630706,3.20%,58960630706,7689489,7689489,910,108514,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,어드벤처,이석훈,"김남길,손예진,유해진,이경영,오달수,김태우,박철민,신정근,김원해,조달환,조희봉,정성화,최진리,이이경,강대욱,서왕석,서재현,서진석,서현석,성호제,송용호,심윤보,엄세현,유민경,이동철,장지웅,정경우,차민호,권성영,김경식,김기환,김대현,김재학,김주동,김준아,김한준,도현운,안내상,이대연,전배수,김강일,박해수"
23,1987,2017.12.27,58167040145,3.30%,58167040145,7231856,7231856,1299,138220,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤"
24,마스터,2016.12.21,58068236865,3.20%,58068236865,7150586,7150586,1501,126927,"영화사 집",씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,오달수,박해수,진경,김정우,장한별,이승용,김대현"
25,국가대표,2009.7.29,57570773000,5.80%,57570773000,8035181,8035181,570,131671,케이엠컬쳐㈜,(주)쇼박스,12세이상관람가,"드라마,액션,코미디",김용화,"하정우,성동일,김지석,김동욱,최재환,이재응,이은성,이한위,이혜숙,김지영,쥬니,황하나,조재윤,심영,천주영,도승휘,전성빈,오광록,김수로,조진웅,김용건,김성주,이금희,박정수,손범수"
26,밀정,2016.9.7,57026143481,3.20%,61270079831,6934054,7500457,1444,126955,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈","워너브러더스 코리아(주)",15세이상관람가,액션,김지운,"송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이동진,이상희,이수광,이승진,하민,노준표,김정우,김태준,고준,오하늬,원진아,전여빈"
27,터널,2016.8.10,56792964517,3.30%,56792964517,7029745,7029745,1105,107666,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구,진용욱,이한서,예수정"
28,내부자들,2015.11.19,56598333057,3.30%,56598333057,7072063,7072063,1129,152628,"(유)내부자들 문화전문회사",(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명,조경현"
29,럭키,2016.10.13,56445023256,3.20%,56445023256,6975571,6975571,1234,155990,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식,김기정,고준,차엽"
30,범죄도시,2017.10.3,56322098349,3.10%,56322098349,6880535,6880535,1315,149384,"(주)홍필름,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)키위미디어그룹",청소년관람불가,"범죄,액션",강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규"
31,곡성,2016.5.12,55863520382,3.20%,55863520382,6879908,6879908,1485,130322,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철"
32,"최종병기 활",2011.8.10,55827861500,4.20%,55827861500,7470633,7470633,615,130054,"(주)디씨지플러스,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,액션",김한민,"박해일,류승룡,김무열,문채원,이한위,김구택,이경영,박기웅,이승준,이재구,박노식,이다윗,전민서,오타니 료헤이,강규영,김홍수,김길동,최선미,조우진,이미소,최태환,박진주,한성민,김남수,강은규,김기덕,이상도,장재욱,임미주,박상희,최유라,이유비,이항주,이동훈,문영동"
33,인천상륙작전,2016.7.27,55069686503,3.20%,55069686503,7044417,7044417,1049,96711,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진,진용욱"
34,써니,2011.5.4,54035565100,4.10%,54035565100,7362657,7362657,546,149135,"(주)알로하픽쳐스,(주)토일렛픽쳐스",씨제이이앤엠(주),15세이상관람가,"드라마,코미디",강형철,"유호정,심은경,강소라,고수희,홍진희,강지원,김민영,김선경,진희경,김보미,이연경,박진주,남보라,민효린,윤미라,조민수,박윤정,신윤정,박영서,김예원,천우희,박중훈,최형태,심소희,최혜선,전선희,박혜성,진승환,김보름,김도엽,고은별,이상은,윤수진,최선아,박보영,윤정,임은채,최아름,류혜린,최영호,정은지,이승훈,이다슬,한승현,김새벽,성지루,정원중,정석용,김원해,최명길,이상아,김영옥,김보연,선주아,김시후,김혜옥,고준"
35,과속스캔들,2008.12.3,53800771400,5.40%,53800771400,8223266,8223266,408,145555,"(주)토일렛픽쳐스,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,코미디,강형철,"차태현,박보영,왕석현,임지규,황우슬혜,정원중,김기방,김혜진,노수정,류수경,김준호,문수진,김태형,김웅,이희상,임진순,김민채,김수완,박용준,정준영,정진희,정하린,김진,김준영,이준혁,성지루,김한국,고준"
36,베를린,2013.1.30,52355568637,2.90%,52355568637,7166290,7166290,894,111744,"(주)외유내강,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,액션,류승완,"하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익"
37,군함도,2017.7.26,50510565168,2.80%,50510565168,6592151,6592151,2027,108775,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,김규백,소지섭,명인호,송중기,이정현,김수안,지웅배,손용범,박상호,박선,박선주,박영준,박정민,박준서,박준서,박혜민,성정훈,오정현,오형근,전창현,정규호,정부용,지재우,이다영,이동준,이상협,이선민,이세형,이윤2,최호영,이재민,이정민,이정은,이정현,이제훈,이준혁,허승준,이준희,이지은,이지환,이태영,이하은,이하준,이경영,장성범,백승철,김준한,김고은,박성일,설준수,조경현"
38,디워,2007.8.1,49340084700,5.30%,49340084700,7855474,7855474,622,96439,㈜영구아트,(주)쇼박스,12세이상관람가,"액션,판타지",심형래,"브룩스 아만다,베어 제이슨"
39,사도,2015.9.16,48844889501,2.80%,48844889501,6247166,6247166,1210,124251,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,사극,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연,차순배"
40,"은밀하게 위대하게",2013.6.5,48700887413,2.70%,48700887413,6959083,6959083,1341,117461,(주)엠씨엠씨,(주)쇼박스,15세이상관람가,"액션,코미디,드라마",장철수,"김수현,박기웅,이현우,손현주,박혜숙,김성균,고창석,장광,신정근,홍경인,이채영,박은빈,최우식,이연경,이재남,이주원,장하은,장하진,황의준,송경호,이명규,주현,조영진,성유빈"
41,늑대소년,2012.10.31,46593140500,2.60%,46593140500,6654842,6654842,854,109134,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수"
42,연평해전,2015.6.24,45566111330,2.60%,45566111330,6044688,6044688,1013,114479,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정"
43,청년경찰,2017.8.9,44382020516,2.50%,44382020516,5653444,5653444,1102,118547,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,김주환,"김규백,박서준,정다은,강하늘,성동일,박하선,이하준,이현일,임대현,박재홍,박정훈,장석진,서은지,서정우,서지원,신정화,조윤주,우상기,이강재,이다영,최광원,최지민,이도현,이상민,이세희,이수진,한재욱,이승희,이은비,이재웅,이정수,이주원,서정연,고준"
44,"화려한 휴가",2007.7.25,44098470600,4.70%,44098470600,6855304,6855304,551,96524,기획시대(주),씨제이엔터테인먼트,12세이상관람가,드라마,김지훈,"김상경,이창민,안성기,이요원,이준기,박철민,송진호,김명훈,신진철,신창수,황대원,김하림,조일연,박지운,한대관,백광두,주현철,김도일,유현진,이희원,박민수,임남혁,박병렬,박상준,임종민,임왕섭,김철기,김철준,정재헌,이강영,이규현,김용욱,이재열,이정국,이종대,손병호,이얼,황영희,엄효섭,곽민호,오희준"
45,전우치,2009.12.23,44092710000,4.40%,44092710000,6065354,6065354,612,102353,"영화사 집",씨제이엔터테인먼트,12세이상관람가,"액션,코미디,판타지",최동훈,"강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,김동효,송진영,김혜지,신수현,박용범,박민규,조운,김현식,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈"
46,덕혜옹주,2016.8.3,44068865409,2.50%,44068865409,5558165,5558165,964,94265,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원"
47,"좋은 놈, 나쁜 놈, 이상한 놈",2008.7.17,43649861500,4.70%,43649861500,6669915,6669915,824,92422,"(주)다크서클픽쳐스,(주)바른손이앤에이",씨제이엔터테인먼트,15세이상관람가,"서부극(웨스턴),액션,어드벤처",김지운,"송강호,이병헌,정우성,오달수,엄지원,김광일,손병호,이청아,김선영,성정훈,송승현,신상우,조화성,박광복,송영창,윤영우,정성우,이한솔,양명헌,박진우,조덕제,최진호,진선규,정세형,윤제문,류승수"
48,"더 킹",2017.1.18,43488814535,2.40%,43488814535,5317693,5317693,1310,107983,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽,오대환"
49,독전,2018.5.22,43484892913,2.40%,43484892913,5063620,5063620,1532,140019,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준"
50,"검은 사제들",2015.11.5,42407832092,2.40%,42407832092,5442553,5442553,1109,131172,"영화사 집",씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
51,공작,2018.8.8,42267898976,2.40%,42267898976,4908146,4908146,1317,93532,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,"황정민,이성민,조진웅,주지훈,김대현"
52,"웰컴 투 동막골",2005.8.4,40328508500,4.30%,40328508500,6436508,6436508,356,72108,"필름있수다,(주)쇼박스",(주)쇼박스,12세관람가,"전쟁,드라마",박광현,"신하균,정재영,강혜정,류덕환,임하룡,강남석,조혜진,손재영,신영철,류창국,김도영,민창기,이화경,최민영,최상순,임은희,박아형,정영기,김찬호,이경애,이다운,김영배,서재경,유승목,조덕현,심원철,리민,이란희"
53,의형제,2010.2.4,40153729000,4.10%,40153729000,5416812,5416812,569,118242,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",(주)쇼박스,15세이상관람가,"드라마,액션",장훈,"송강호,강동원,전국환,박혁권,윤희석,최정우,정인기,설진욱,강명희,영건,박용진,김의용,황순욱,황인준,박현수,김남희,김태환,박민우,임세환,최윤서,김진용,주부진,이현지,백승익,차엽,박진우,김광규,고창석,배용근,유하복"
54,"더 테러 라이브",2013.7.31,39869706381,2.20%,39869706381,5584139,5584139,809,93488,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,기타",김병우,"하정우,이경영,전혜진,이다윗,이재관,이춘연,장성환,전려경,박수화,김홍파,김대명,최진호,김소진"
55,아저씨,2010.8.4,39862180500,4.00%,39862180500,5237044,5237044,501,76542,오퍼스픽쳐스,씨제이엔터테인먼트,청소년관람불가,"액션,드라마",이정범,"원빈,김새론,김희원,김성오,김태훈,김호연,김성훈,김효민,김효서,신동민,홍석준,조영아,홍의정,이재원,조용현,박준우,최현아,황재순,박혜리,박호진,홍소희,노승우,임효우,이건문,백현익,서정주,김도형,민소연,이상하,박병렬,장민주,장준호,박성택,오정식,정도원,김창민,양종현,서민경,김지민,남경읍,송영창,이종필,조재윤,장준녕"
56,숨바꼭질,2013.8.14,39602995500,2.20%,39602995500,5604106,5604106,779,88064,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,허정,"손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈"
57,감시자들,2013.7.3,39380162179,2.20%,39380162179,5508017,5508017,949,100309,"영화사 집",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션","조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥"
58,완득이,2011.10.20,38532269000,2.90%,38532269000,5311072,5311072,629,117842,"(주)유비유필름,어나더픽쳐스(주)",씨제이이앤엠(주),12세이상관람가,드라마,이한,"김윤석,유아인,김효숙,조병찬,조세현,신창수,정한진,강별,박효주,박종현,박진아,서대현,서왕석,김광섭,차선영,천영암,최명경,윤경호,전승엽,임정환,오희준,김신우,이경숙,이유나,이태영,김영재,조덕제,조상건,안길강,김상호,리우진,성유빈"
59,타워,2012.12.25,37654858000,2.10%,37654858000,5181014,5181014,638,81147,"씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,드라마,김지훈,"설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학,임경만,장혜리,조윤경,배진호,안용우,전배수,이창용,박영수,이주실"
60,"님아, 그 강을 건너지 마오",2014.11.27,37356780079,2.10%,37356780079,4801818,4801818,806,93375,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열"
61,"군도: 민란의 시대",2014.7.23,36985578499,2.00%,36985578499,4774195,4774195,1394,67206,"(주)영화사 월광,(주)쇼박스",(주)쇼박스,15세이상관람가,"사극,액션",윤종빈,"하정우,강동원,최귀화,이성민,조진웅,마동석,윤지혜,정만식,김성균,김재영,주진모,이경영,신나라,정두홍,조남희,조현도,김광현,김병주,김영철,김지선,김태수,노남석,송영창,이경영,김병옥,주영호,한예리,김시은,김해숙,정대용,정재헌"
62,"범죄와의 전쟁: 나쁜놈들 전성시대",2012.2.2,36538823500,2.70%,36538823500,4719872,4719872,713,91889,"(주)팔레트픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"범죄,드라마",윤종빈,"최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,이승민,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕,김종수,오만석,정재헌,고규필"
63,"미녀는 괴로워",2006.12.14,36292848900,3.90%,36292848900,6081480,6081480,418,87141,"리얼라이즈픽쳐스(주),케이엠컬쳐㈜",(주)쇼박스,12세이상관람가,"멜로/로맨스,코미디",김용화,"김아중,주진모,김현숙,신미영,김원,조아영,신정원,차원호,원동연,이보라,장재권,전고은,임민승,윤지원,박성용,박성현,오재진,김정만,정명희,오경성,김종태,이혜림,이종필,박노식,김용건,박휘순,이원종,이한위,류승수"
64,타짜,2006.9.28,36181314700,3.90%,36181314700,5685521,5685521,492,76884,"(주)영화사참,(주)싸이더스",씨제이엔터테인먼트,18세관람가,드라마,최동훈,"조승우,김혜수,백윤식,유해진,김응수,김상호,김윤석,주진모,이수경,김정난,조상건,서동수,백도빈,조상원,김의성,서종해,차지은,이석원,윤준호,최영준,오호진,김민경,김진묵,김정현,최재섭,허영만,오정세,김광규,장준녕,최종률,장원영"
65,판도라,2016.12.7,36067171064,2.00%,36067171064,4584800,4584800,1184,100270,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성,공정환"
