avgP,minP,maxP,sumP,DICD,Name
3215588500.0000,3215588500,3215588500,3215588500,20251869,홍헌표
3357912530.0000,3357912530,3357912530,3357912530,20254349,이사랑
12020269549.3333,3599680348,22256769300,36060808648,10071587,창
6437149878.7500,459220000,19391653500,25748599515,10056854,이우철
3849027668.0000,2463752000,5234303336,7698055336,10026501,모홍진
5054757395.0000,5054757395,5054757395,5054757395,20230906,김형협
3182452019.5000,262191500,6102712539,6364904039,10072117,최국희
6455675489.0000,217269000,26909477678,38734052934,10056602,이언희
6364020418.6667,601853500,10136738500,38184122512,20131018,조선호
5702343766.2500,227157000,9929947065,22809375065,10002517,권종관
9837156547.3333,625824000,16226580642,29511469642,10028545,박대민
12549214363.8333,362910000,36985578499,75295286183,20131894,김형주
22221798303.2000,3562190000,44382020516,111108991516,20112387,김주환
32542979227.0000,1302907128,63783051326,65085958454,20128773,김성훈
4781337521.0000,4650016527,4912658515,9562675042,20204507,김덕근
8964388750.0000,8769832000,9158945500,17928777500,20148091,차준호
486548700.0000,486548700,486548700,486548700,20302509,김지열
22359726850.3333,6226832300,50510565168,67079180551,20216346,박지인
8964388750.0000,8769832000,9158945500,17928777500,20302409,김영석
14279502998.0000,1974664500,30037161000,57118011992,20302369,이승원
10923920500.0000,10923920500,10923920500,10923920500,10061911,정순애
4621564435.5000,718090000,8525038871,9243128871,20175840,최승연
1206812000.0000,1206812000,1206812000,1206812000,10073226,"노구치 테루오"
7089961300.0000,227941500,15374798000,35449806500,20124877,임진승
334175900.0000,334175900,334175900,334175900,20206966,김용운
2354658711.5000,263526895,4445790528,4709317423,20166532,오희정
4855635486.0000,428376400,9590663500,14566906458,20221426,김수정
985725100.0000,985725100,985725100,985725100,20285310,김보람
335696650.0000,335696650,335696650,335696650,20281369,유영의
30037161000.0000,30037161000,30037161000,30037161000,20291469,김정현
881663400.0000,881663400,881663400,881663400,20275649,홍주연
4444468935.5000,363899000,8525038871,8888937871,10072715,최종구
4271865500.0000,4271865500,4271865500,4271865500,20235306,최석원
322062200.0000,322062200,322062200,322062200,20289230,이성재
27248705990.0000,27248705990,27248705990,27248705990,10043363,안선경
636051200.0000,559367500,712734900,1272102400,10058661,임아론
881663400.0000,881663400,881663400,881663400,10007504,남기웅
366717200.0000,366717200,366717200,366717200,10004440,김상철
218173300.0000,218173300,218173300,218173300,20283069,김홍선
10856705388.7500,3326439772,19894297783,43426821555,20125826,김홍선
4409368675.0000,1289929200,6826959500,17637474700,20167741,김현호
13293090484.3333,1899792000,25539734986,79758542906,10006261,김현석
1131393200.0000,1131393200,1131393200,1131393200,20113064,김재환
4912658515.0000,4912658515,4912658515,4912658515,10005015,김영조
7327437675.0000,1388412500,12302961500,29309750700,10004904,김양희
10502495868.6667,5265267506,18529880600,31507487606,10004610,김성욱
2274910066.6667,284106600,4639709300,6824730200,10072304,최상훈
1642407500.0000,1642407500,1642407500,1642407500,10003461,"기예르모 델 토로"
12601052689.8889,359247800,40153729000,113409474209,20155901,윤정진
2677284639.0000,2677284639,2677284639,2677284639,20211466,정혜진
4003914184.6667,811844000,8870143589,12011742554,10040499,신연식
2641412500.0000,2641412500,2641412500,2641412500,20112723,손태겸
6383175750.0000,867603000,11898748500,12766351500,10001439,고경아
115706188137.0000,115706188137,115706188137,115706188137,20189544,최용수
37356780079.0000,37356780079,37356780079,37356780079,20179941,진모영
4158738000.0000,4158738000,4158738000,4158738000,20135785,이윤형
18303504964.6000,1927358500,44098470600,91517524823,20125803,문현성
295699943.0000,295699943,295699943,295699943,20243709,문창용
625824000.0000,625824000,625824000,625824000,10056203,이숭환
14147922800.5000,2358629601,25937216000,28295845601,10062253,정지영
60604682318.5000,5503176500,115706188137,121209364637,10054496,윤종석
759481000.0000,759481000,759481000,759481000,20122844,김준성
3069388100.0000,3069388100,3069388100,3069388100,20187750,"캘런 브런커"
33782894960.2500,5641848000,62697419249,135131579841,10090050,황동혁
12927512993.0000,315291000,25539734986,25855025986,10087180,하원준
208911200.0000,208911200,208911200,208911200,20215847,김양래
2677284639.0000,2677284639,2677284639,2677284639,20112022,이용승
3215588500.0000,3215588500,3215588500,3215588500,20188062,김석원
5055099500.0000,217269000,15800299000,35385696500,10004439,김상찬
9239511330.0000,234535500,27248705990,27718533990,10066934,조정래
9996026999.0000,8208944000,11783109998,19992053998,20110174,장유정
2394260319.8889,255508579,8967441000,21548342879,10003696,김기덕
426257300.0000,426257300,426257300,426257300,20292035,서지운
361431100.0000,361431100,361431100,361431100,20111258,안재훈
4875237950.0000,773088000,10087308700,19500951800,10037252,송창용
20339116813.3333,773088000,57570773000,61017350440,10090165,황승재
7721904837.6000,216276800,13049026745,38609524188,10029969,방은진
30037161000.0000,30037161000,30037161000,30037161000,10029121,박재영
488796800.0000,488796800,488796800,488796800,10089864,홍지유
437688924.5385,237013700,835941500,5689956019,10089497,홍상수
2139483000.0000,2139483000,2139483000,2139483000,20290569,김성문
6374273650.0000,303851500,19174920500,25497094600,20241988,하명미
24972389291.5000,10341783083,39602995500,49944778583,20169260,허정
2685519021.0000,2685519021,2685519021,2685519021,20232106,이주영
415009400.0000,415009400,415009400,415009400,20243869,이윤호
1373107023.0000,273120000,2586052500,6865535115,10056949,이윤기
1976349904.0000,264189420,6826959500,9881749520,20186877,이영준
24009857081.5000,4754763118,66007533500,144059142489,10087712,한재림
560512000.0000,348540500,772483500,1121024000,20191566,이상호
1089343623.7500,245731000,2862391500,4357374495,10072781,최진성
9613872112.6000,783919500,27242041463,48069360563,10071617,채길병
1090835800.0000,1090835800,1090835800,1090835800,10055080,이달
976008100.0000,976008100,976008100,976008100,20208386,이나정
589941500.0000,308882000,999160000,2359766000,10054571,윤학렬
29782771041.5294,312851500,110933981730,506307107706,10054492,윤제균
13776679158.4000,934380300,30037161000,68883395792,20111284,원신연
10060239500.0000,10060239500,10060239500,10060239500,20288697,최봉석
387323000.0000,387323000,387323000,387323000,10067366,조창호
257040200.0000,257040200,257040200,257040200,10040004,"아론 우들리"
6084422777.4000,532419300,20143992587,30422113887,10050399,오상호
4073017000.0000,4073017000,4073017000,4073017000,20138632,안재석
993321176.0000,993321176,993321176,993321176,20195674,안용훈
5546097487.5000,303851500,25937216000,44368779900,10040599,신종훈
8613324347.0000,1846581582,14938458000,43066621735,10037278,송해성
663144000.0000,663144000,663144000,663144000,20030069,송창수
1220585250.0000,350293300,2090877200,2441170500,20110508,송정우
56656226585.2500,21641740000,81025004000,226624906341,10000533,강대규
10217001268.8000,4259705000,20392518000,51085006344,10061765,정병식
15066090072.0000,9739662144,20392518000,30132180144,10061761,정병길
371332731.7500,273384900,530265400,1485330927,20186696,정다원
5515964827.5000,3357912530,7674017125,11031929655,10031356,변성현
295699943.0000,295699943,295699943,295699943,20243710,전진
2995220000.0000,595238500,5395201500,5990440000,10061439,전재홍
208911200.0000,208911200,208911200,208911200,20215849,전일우
35108312990.2500,1020724600,88908642769,140433251961,10060462,장재현
16902311604.3750,329280000,34881330905,135218492835,10029578,박훈정
208911200.0000,208911200,208911200,208911200,20215848,박형준
6879682472.5000,3264596000,10494768945,13759364945,20110676,박인제
208911200.0000,208911200,208911200,208911200,20214827,임정하
9072737842.0000,9072737842,9072737842,9072737842,10058494,임나무
5071626904.0000,294259600,14559017612,15214880712,10057682,이창재
4841525990.5000,340297960,17695683795,38732207924,10057659,이창동
4682641000.0000,4682641000,4682641000,4682641000,20111837,김새봄
17091764560.0000,1247345300,55827861500,85458822800,20158266,정세교
552273700.0000,552273700,552273700,552273700,10060461,장재혁
384127000.0000,384127000,384127000,384127000,10050932,"밀다 바긴스카이트"
3743082000.0000,3743082000,3743082000,3743082000,10002475,권용숙
304368000.0000,303851500,304884500,608736000,20128942,권경원
2963174300.0000,978382500,5726173700,11852697200,10058653,임승미
16377831818.0000,2405669580,23130188893,65511327272,20196126,이인혁
9646016856.5000,9362086648,9929947065,19292033713,20245349,허정재
21242367145.0000,21242367145,21242367145,21242367145,10027804,민병훈
426257300.0000,426257300,426257300,426257300,20197151,김종우
450160975.0000,262191500,835941500,1800643900,10054828,이광국
5503176500.0000,5503176500,5503176500,5503176500,10054718,이강현
360833100.0000,360833100,360833100,360833100,20283049,고경민
655033000.0000,655033000,655033000,655033000,20065238,김진아
15085648151.2000,1928502500,56445023256,75428240756,10054784,이계벽
39602995500.0000,39602995500,39602995500,39602995500,20281592,김민정
978382500.0000,978382500,978382500,978382500,10089595,홍성훈
2296093000.0000,2296093000,2296093000,2296093000,10001827,고현창
11171404147.8000,1897970000,36538823500,55857020739,20065829,정소영
4124164500.0000,4124164500,4124164500,4124164500,20110918,박진성
457422500.0000,262191500,835941500,1372267500,20156999,임오정
4991455035.5000,326980700,16912706195,19965820142,10002458,권오광
34217904801.3333,4785467000,77319445264,205307428808,10054495,윤종빈
784148500.0000,784148500,784148500,784148500,20128050,김민
13257574800.0000,230206600,26284943000,26515149600,10055931,이서
263049900.0000,263049900,263049900,263049900,10056129,이송희일
538681150.0000,372281300,705081000,1077362300,10086840,하명중
12389465550.0000,10934307100,13844624000,24778931100,10055192,이두용
1827565400.0000,842501700,2862391500,5482696200,10036887,손원평
7000454651.5714,274964000,34222160500,98006365122,10027774,민규동
3775805450.0000,1220941000,6330669900,7551610900,10006116,김태용
229835000.0000,229835000,229835000,229835000,20110332,정성복
3164819833.3333,493278500,6413325500,18988919000,10058845,임찬익
2135647300.0000,2135647300,2135647300,2135647300,20159110,이정익
5852391000.0000,5852391000,5852391000,5852391000,10027766,민경원
13446137500.0000,13446137500,13446137500,13446137500,20136995,임준현
4562192000.0000,1073144500,8051239500,9124384000,10058081,이혁수
991568200.0000,991568200,991568200,991568200,10050307,오멸
9731838195.0000,9731838195,9731838195,9731838195,20184482,이혜연
1729412500.0000,1729412500,1729412500,1729412500,10028460,박광수
1642407500.0000,1642407500,1642407500,1642407500,20156577,"안드레스 무시에티"
7938414998.3333,5754065300,9731838195,23815244995,10002002,곽재용
240262112.0000,240262112,240262112,240262112,20184561,오세인
3978495129.0000,3978495129,3978495129,3978495129,20280129,"토마스 로우스"
367328500.0000,367328500,367328500,367328500,20188501,서정신우
4122996972.0000,4122996972,4122996972,4122996972,20186469,권현석
9500609750.0000,7780811000,11220408500,19001219500,10029586,박희곤
334175900.0000,334175900,334175900,334175900,20162131,김아영
1583308500.0000,1131393200,2035223800,3166617000,20235206,최승호
25954703650.0000,2673832500,44098470600,103818814600,10005886,김지훈
1296756200.0000,1296756200,1296756200,1296756200,10002015,곽지균
2312303250.0000,1095301000,3529305500,4624606500,10060625,장현수
33986449500.0000,33986449500,33986449500,33986449500,20127451,김선경
297957300.0000,297957300,297957300,297957300,10089036,"닐 호너"
1832217570.6667,842501700,3599680348,5496652712,10047036,양익준
5443053685.0000,2027581239,10697981316,16329161055,10071129,차성덕
43933129936.2500,351561500,110933981730,175732519745,20114792,이종석
17653752500.0000,17653752500,17653752500,17653752500,20135294,김민지
4271865500.0000,4271865500,4271865500,4271865500,20157483,임일진
17632067753.0000,2139360500,44395967609,105792406518,10088463,허진호
39277382653.1667,5478113500,67011377000,235664295919,10031641,봉준호
2090877200.0000,2090877200,2090877200,2090877200,10024437,"마크 펠링톤"
1342382473.0000,616132846,2068632100,2684764946,10005243,김유성
2416319276.5000,1725990153,3106648400,4832638553,10004879,김아론
39602995500.0000,39602995500,39602995500,39602995500,20251890,김진아
255508579.0000,255508579,255508579,255508579,20166961,황규일
32626932550.0000,7683092100,57570773000,65253865100,10071889,천주영
5214211529.4000,884934300,12291081634,26071057647,10057210,이재용
6689968133.9474,516736500,21242367145,127109394545,10065272,조근현
15618978193.8000,12333110882,17653752500,78094890969,10029363,박진표
18608191255.4167,951843500,81025004000,223298295065,10003489,김휘
11213872211.2000,271945300,27242041463,56069361056,10047368,엄태화
7996174609.3333,2750311500,17497165500,23988523828,20157905,유수민
24568885123.8000,4785467000,67011377000,122844425619,20110970,박현철
2853375650.0000,1728722300,3978029000,5706751300,10089413,홍기선
1090835800.0000,1090835800,1090835800,1090835800,20276549,고동우
1488328000.0000,1488328000,1488328000,1488328000,20276329,정은비
2307824200.0000,2307824200,2307824200,2307824200,20276289,오혜진
620874000.0000,620874000,620874000,620874000,20121241,정하린
3171148500.0000,1095301000,5246996000,6342297000,20212689,김현우
417495600.0000,417495600,417495600,417495600,20238387,허준형
310302500.0000,310302500,310302500,310302500,20275130,장성
488796800.0000,488796800,488796800,488796800,10058080,이혁상
65759438650.0000,64802996000,66715881300,131518877300,20274609,민아인
20326206281.6667,2869918500,46593140500,60978618845,10065952,조성희
16978680920.6667,8581442100,21774884000,50936042762,10004596,김성수
14069480259.4545,1159253000,67011377000,154764282854,10029381,박찬욱
7984601503.5000,3978495129,11990707878,15969203007,20183664,한준희
734857650.0000,311840500,1542788950,2204572950,20112403,안국진
7630083855.5000,2892681205,12367486506,15260167711,10004620,김성제
939068025.0000,362910000,1470927500,3756272100,10058483,임권택
45566111330.0000,45566111330,45566111330,45566111330,10006188,김학순
5754065300.0000,5754065300,5754065300,5754065300,20274211,"렌 징징"
17467198088.7143,1928502500,67011377000,122270386621,20143077,백종열
308882000.0000,308882000,308882000,308882000,20273329,김금실
961785460.0000,961785460,961785460,961785460,20191068,김태용
9277342782.0000,4754763118,13799922446,18554685564,10015745,노덕
5279327975.6667,340297960,9111748087,15837983927,20113672,윤가은
2815589869.5000,2027581239,3603598500,5631179739,10054739,이경미
6748592366.6667,3409535000,13426707100,20245777100,20065265,이윤정
27449761310.5000,937877400,58068236865,109799045242,10066810,조의석
5722130506.6000,931460100,9362086648,28610652533,10089855,홍지영
11236372099.9231,334175900,40328508500,146072837299,10060535,장진
19042019250.0000,7953428000,30130610500,38084038500,20112503,조진모
3582502233.3333,1534151500,4886772800,10747506700,10029415,박철희
327192000.0000,327192000,327192000,327192000,10004779,김수현
4736518000.0000,4736518000,4736518000,4736518000,20166705,구교환
17809936175.1429,3309177500,40153729000,124669553226,20124307,박홍수
1642407500.0000,1642407500,1642407500,1642407500,20146447,김태영
490990750.0000,302239000,679742500,981981500,20195495,권혁만
679742500.0000,679742500,679742500,679742500,20269333,고문안
16791518876.3333,3978495129,39602995500,50374556629,10002500,권호영
384127000.0000,384127000,384127000,384127000,10004197,김민숙
4526203521.5000,314542400,8737864643,9052407043,20211566,유재현
30037161000.0000,30037161000,30037161000,30037161000,10008638,"니콜라스 로에그"
418376200.0000,418376200,418376200,418376200,20246329,이주훈
3978029000.0000,3978029000,3978029000,3978029000,20112331,박제욱
4892401033.0000,1206812000,12062180000,19569604132,10019026,류훈
418376200.0000,418376200,418376200,418376200,20246309,김동민
17684715646.5000,12239242400,23130188893,35369431293,10002413,권수경
297957300.0000,297957300,297957300,297957300,20225826,이창열
13661505750.0000,13403595000,13919416500,27323011500,20211526,김기범
2010230533.3333,718090000,3243969500,6030691600,20153077,김성준
33953817534.7500,4855872900,57530028417,135815270139,10058842,임찬상
292031500.0000,292031500,292031500,292031500,20157081,정유경
459566121.0000,459566121,459566121,459566121,20244789,이성태
6147760421.0000,3222783000,9072737842,12295520842,20110995,박흥식
7688807484.7143,349943500,45566111330,53821652393,10029478,박헌수
15175456025.6000,636285500,36067171064,75877280128,10029181,박정우
465532500.0000,465532500,465532500,465532500,20110814,박수영
4101408500.0000,1095301000,8023653000,20507042500,10006085,김태균
14902608606.1250,1246200228,66014775400,238441737698,10057485,이준익
706033000.0000,706033000,706033000,706033000,10003582,김경형
4271865500.0000,4271865500,4271865500,4271865500,20263844,"미사와 타쿠야"
9506642333.3333,8769832000,10591149500,28519927000,10055840,이상기
57161496467.0000,56792964517,57530028417,114322992934,20263809,"로드리고 그란데"
5427225956.3333,243405000,8651186000,16281677869,10000970,강효진
10054066911.6000,599122500,28638460100,50270334558,10000873,강지은
6504851500.0000,210875100,19075737900,19514554500,10089612,홍수동
2440004213.0000,2440004213,2440004213,2440004213,20209287,남대중
20416347196.0000,1229698892,39602995500,40832694392,20178069,이한욱
1220941000.0000,1220941000,1220941000,1220941000,20262190,권일형
1258000500.0000,1258000500,1258000500,1258000500,10055390,이무영
219672300.0000,217973600,221371000,439344600,20244338,이민우
57840505372.5000,4221938000,135753322310,347043032235,10006204,김한민
5146104135.5000,1699031500,9337976000,20584416542,10005717,김종현
1519091100.0000,1519091100,1519091100,1519091100,20191146,이일하
663075600.0000,663075600,663075600,663075600,20239406,이원재
6102255631.6667,326980700,16912706195,18306766895,20162031,이요섭
2496355500.0000,2496355500,2496355500,2496355500,10055997,이성강
2258422445.0000,2258422445,2258422445,2258422445,20246149,이두환
5625945423.7500,271945300,16912706195,22503781695,20112191,우문기
33986449500.0000,33986449500,33986449500,33986449500,10004672,김세연
7018625507.0000,217269000,18390012500,28074502028,20111254,안상훈
3355654475.0000,1148146700,7652767000,13422617900,20111134,손현희
7818384750.0000,3333808000,12302961500,15636769500,10031639,봉만대
464727700.0000,464727700,464727700,464727700,20238366,변진호
2941227688.6667,784148500,5587166000,8823683066,10004500,김선
8601102557.2500,599122500,20091127000,68808820458,10030297,백상열
21393452647.0000,21393452647,21393452647,21393452647,20258511,"알렉산더 버거"
21393452647.0000,21393452647,21393452647,21393452647,20258497,"크리스트 아이보비"
21393452647.0000,21393452647,21393452647,21393452647,20258510,"휴고 리조"
7734516233.3333,753985500,18459203000,23203548700,10060422,장은연
893928666.6667,362910000,1470927500,2681786000,20189612,김미영
326980700.0000,326980700,326980700,326980700,10058226,이홍민
22760408950.7500,220051200,55069686503,91041635803,10057235,이재한
4855872900.0000,4855872900,4855872900,4855872900,10087623,한승림
7506585667.0000,1486835668,15584755500,30026342668,20112573,최정열
8925789000.0000,4271865500,13579712500,17851578000,10054878,이규만
255508579.0000,255508579,255508579,255508579,20182772,고형동
245731000.0000,245731000,245731000,245731000,20252329,이지은
9072737842.0000,9072737842,9072737842,9072737842,20252271,박준형
21393452647.0000,21393452647,21393452647,21393452647,20212509,오동하
