기간별 박스오피스 검색 리스트(2012.2 - 2018.7),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
rank,movieNm,movieCd,profit,profitPercent,profitAcc,audiCnt,audiAcc,scrnCnt,showCnt,nation,nations,maker,provier,rating , genre,director,actor
137,표적,2014-04-30,22256769300,0.002,22256769300,2841828,2841828,716,72255,한국,한국,"(주)바른손이앤에이,(주)용필름",씨제이이앤엠(주),15세이상관람가,"액션,드라마",창,"류승룡,유준상,이진욱,김성령,조여정,조은지,진구,강구현,배정현,서동필,임일규,정순태,홍성민,김동준,김대명,김영재,이현욱,장준녕"
138,앤트맨,2015-09-03,23529209937,0.002,23529209937,2841795,2841795,949,74649,미국,"미국,영국",,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF",페이튼 리드,"폴 러드,마이클 더글라스,에반젤린 릴리,코리 스톨"
139,호빗: 다섯 군대 전투,2014-12-17,24268487685,0.002,24268487685,2836774,2836774,926,51180,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,휴고 위빙,에반젤린 릴리"
140,호빗: 뜻밖의 여정,2012-12-13,23436820716,0.002,23436820716,2818993,2818993,1028,51583,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,크리스토퍼 리,일라이저 우드,앤디 서키스,휴고 위빙,베네딕트 컴버배치"
141,메이즈 러너,2014-09-18,21489367677,0.002,21489367677,2812427,2812427,655,71048,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,미스터리,SF,스릴러",웨스 볼,"딜런 오브라이언,카야 스코델라리오,윌 폴터,토마스 생스터,이기홍"
142,빅 히어로,2015-01-21,21993119765,0.002,21993119765,2801949,2801949,825,62229,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕"
143,덩케르크,2017-07-20,24574720848,0.002,24574720848,2792396,2792396,1252,65992,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"액션,드라마,스릴러,전쟁",크리스토퍼 놀란,"톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,제임스 다시,케빈 구스리"
144,메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,0.002,21596946349,2744413,2744413,804,58725,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
145,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686,0.002,23452686686,2735721,2735721,1218,63789,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
146,내가 살인범이다,2012-11-08,20392518000,0.002,20392518000,2729827,2729827,547,58415,한국,한국,"(주)다세포클럽,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,스릴러",정병길,"정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성,이상문,박윤호,이용희,박규범,백동현,서강호,오병호,유희원,윤봉철,배성우,손종학,한제인,최희진,장광,조은지"
147,나우 유 씨 미 : 마술사기단,2013-08-22,19146691869,0.002,19146691869,2718227,2718227,691,54658,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션,스릴러",루이스 리테리어,"제시 아이젠버그,마크 러팔로,우디 해럴슨,멜라니 로랑,아일라 피셔,데이브 프랑코,마이클 케인,모건 프리먼"
148,미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,0.002,21841214586,2718158,2718158,904,70451,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
149,소원,2013-10-02,18529862600,0.002,18529862600,2711083,2711083,651,72329,한국,한국,필름모멘텀,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,이준익,"설경구,엄지원,이레,김해숙,김상호,라미란,양진성,이승택,하진,조복래,안세하"
150,곤지암,2018-03-28,21442440144,0.002,21442440144,2675618,2675618,1124,88495,한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,"위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤"
151,데드풀,2016-02-17,22111976588,0.002,22111976588,2661673,2661673,1036,56199,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드"
152,살인자의 기억법,2017-09-06,21375287492,0.002,21375287492,2658589,2658589,1064,88686,한국,한국,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",(주)쇼박스,15세이상관람가,"범죄,스릴러",원신연,"설경구,김남길,설현,오달수,이현명,장정윤,전동성,전동성,전동성,전승표,백연정,백연정,정동석,정동석,유지현,윤선용,추동우,함연주,이종건,박상욱,박상운,전승표"
153,브레이킹 던 part2,2012-11-15,18909583065,0.002,18909583065,2654817,2654817,665,56995,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,판타지,멜로/로맨스",빌 콘돈,"크리스틴 스튜어트,로버트 패틴슨,테일러 로트너,다코타 패닝"
154,후궁 : 제왕의 첩,2012-06-06,19330302500,0.002,19330302500,2636320,2636320,624,69104,한국,한국,(주)황기성 사단,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"사극,멜로/로맨스",김대승,"조여정,김동욱,김민준,조은지,박지영,이경영,박철민,장지민,전주병,정일원,홍수지,신민철,안석환,오지혜,이용녀,박충선"
155,탐정 : 더 비기닝,2015-09-24,20463956973,0.002,20463956973,2625686,2625686,764,54995,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한,진용욱"
156,미니언즈,2015-07-29,18998046278,0.002,18998046278,2625599,2625599,792,41946,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼"
157,트랜스포머: 최후의 기사,2017-06-21,21501959228,0.002,21501959228,2614601,2614601,1739,87234,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,어드벤처,SF",마이클 베이,"마크 월버그,안소니 홉킨스,로라 하드독,조쉬 더하멜"
158,제이슨 본,2016-07-27,21253434663,0.002,21253434663,2611966,2611966,827,39806,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",폴 그린그래스,"맷 데이먼,줄리아 스타일즈,토미 리 존스,뱅상 카셀,알리시아 비칸데르"
159,지금 만나러 갑니다,2018-03-14,20801160128,0.002,20801160128,2602316,2602316,1191,97537,한국,한국,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,이장훈,"소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은"
160,도리를 찾아서,2016-07-06,20704149933,0.002,20704149933,2601761,2601761,1091,55116,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,"엘렌 드제너스,알버트 브룩스,다이안 키튼"
161,아수라,2016-09-28,20579716662,0.002,20579716662,2594420,2594420,1278,68044,한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,김현빈,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진"
162,보안관,2017-05-03,20844488409,0.002,20844488409,2588628,2588628,1091,63709,한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남,염진환,박윤호,박지훈,신지훈,이규섭,이동현,최형욱,이윤희,이정은,손여은"
163,기술자들,2014-12-24,19894297783,0.002,19894297783,2564340,2564340,641,43224,한국,한국,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현"
164,퍼시픽 림,2013-07-11,20477374512,0.002,20477374512,2539113,2539113,1005,55655,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",길예르모 델 토로,"찰리 허냄,론 펄먼,이드리스 엘바,찰리 데이"
165,정글북,2016-06-09,21517647134,0.002,21517647134,2537438,2537438,924,59041,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,드라마",존 파브로,"닐 세티,빌 머레이,스칼렛 요한슨,벤 킹슬리,이드리스 엘바,루피타 뇽오,크리스토퍼 월켄,지안카를로 에스포지토"
166,마이펫의 이중생활,2016-08-03,19406716655,0.002,19406716655,2520700,2520700,726,39660,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,코미디,가족",크리스 리노드,"스티브 쿠건,엘리 켐퍼,레이크 벨,데이너 카비,케빈 하트"
167,조작된 도시,2017-02-09,20143992587,0.002,20143992587,2515501,2515501,1019,62241,한국,한국,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),15세이상관람가,"범죄,액션",박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철"
168,반창꼬,2012-12-19,17911274787,0.002,17911274787,2475797,2475797,466,46879,한국,한국,(주)영화사오름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스,정기훈,"고수,한효주,마동석,김성오,쥬니,진서연,장원종,전범희,전성환,전효선,조은비,조현우,김영웅,하정희,한제인,홍지원,박병렬,박이슬,송용운,정진영,조성현,조민기"
169,보스 베이비,2017-05-03,18936306704,0.002,18936306704,2452245,2452245,1116,48379,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,가족",톰 맥그라스,"알렉 볼드윈,리사 쿠드로,스티브 부세미,토비 맥과이어,지미 키멜"
170,조선명탐정: 흡혈괴마의 비밀,2018-02-08,120205700,0,19823058764,16799,2444180,158,1493,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,어드벤처,코미디",김석윤,"김명민,오달수,김지원,김범,이민기,지웅배"
171,화차,2012-03-08,18451526500,0.002,18459969500,2435311,2436500,548,62640,한국,한국,(주)영화제작소보임,필라멘트픽쳐스,15세이상관람가,미스터리,변영주,"이선균,김민희,조성하,김별,차수연,임남숙,임순옥,장대윤,황남희,박지은,박지혜,송성원,오기민,최덕문,이희준,진선규,최일화,김성태"
172,이웃사람,2012-08-22,18088462369,0.002,18088462369,2434269,2434269,600,56752,한국,한국,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈,박인규,유재현"
173,재심,2017-02-15,19266319637,0.002,19266319637,2421197,2421197,935,68402,한국,한국,(주)이디오플랜,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,드라마,김태윤,"정우,강하늘,김해숙,이동휘,한재영,이경영,박희정,우상기,조해진,유지현,이다은,이동희,이동준,이승훈,한하늘,이정수,이정은,이종재,김진욱,김소진,김하나,최정헌"
174,화이: 괴물을 삼킨 아이,2013-10-09,17695683795,0.002,17695683795,2394487,2394487,817,59051,한국,한국,"나우필름(주),파인하우스필름(주),(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,스릴러",장준환,"여진구,김윤석,조진웅,장현성,김성균,박해준,임지은,남지현,설우신,이성,이태종,한진,홍준표,유연석,이준혁,박진우,한주완,서영화,이진성,장인섭,손강국,이승용,김근영,이유미"
175,007 스카이폴,2012-10-26,17487818000,0.002,17487818000,2376266,2376266,748,51359,미국,"미국,영국",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션,샘 멘데스,"다니엘 크레이그,하비에르 바르뎀,주디 덴치,랄프 파인즈,나오미 해리스,베레니스 말로에"
176,박열,2017-06-28,18093639795,0.002,18093639795,2359206,2359206,1176,78499,한국,한국,(유)박열문화전문회사,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"이제훈,최희서,김인우,권율,민진웅,이형석,박진성,배정환,서동기,정무진,정승채,조박,윤재국,이경수,이동욱,이병훈,이성규,이승환,이신우,이영상,이재성,이정현,이종민,홍준석,달시 파켓,김준한,최정헌"
177,스파이,2015-05-21,18417637358,0.002,18417637358,2318748,2318748,665,62960,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디",폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시"
178,모아나,2017-01-12,18056417307,0.002,18056417307,2310206,2310206,953,53162,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"론 클레멘츠,존 머스커","드웨인 존슨,아우이 크라발호,알란 터딕,제메인 클레멘트,테무에라 모리슨"
179,테이큰 2,2012-09-27,17581098553,0.002,17581098553,2308596,2308596,682,51344,프랑스,프랑스,,이십세기폭스코리아(주),청소년관람불가,"액션,범죄,드라마",올리비에 메가턴,"리암 니슨,매기 그레이스,팜키 얀센,라드 세르베드지야"
180,메이즈 러너: 데스 큐어,2018-01-17,18888593104,0.002,18888593104,2297982,2297982,1090,58844,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
181,호빗: 스마우그의 폐허,2013-12-12,17845663316,0.002,17845663316,2282249,2282249,811,39572,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,드라마,판타지",피터 잭슨,"마틴 프리먼,베네딕트 컴버배치,케이트 블란쳇,올랜도 블룸,리차드 아미티지,루크 에반스,휴고 위빙,크리스토퍼 리,에반젤린 릴리"
182,컨저링,2013-09-17,16353225777,0.002,16353225777,2262758,2262758,563,48616,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"공포(호러),스릴러",제임스 완,"베라 파미가,패트릭 윌슨,릴리 테일러"
183,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,0.002,18906246428,2256913,2256913,1709,95669,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",잭 스나이더,"헨리 카빌,벤 애플렉,에이미 아담스,로렌스 피쉬번,제시 아이젠버그,제레미 아이언스,홀리 헌터,갤 가돗"
184,레디 플레이어 원,2018-03-28,19933173071,0.002,19933173071,2254442,2254442,1079,77207,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",스티븐 스필버그,"마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델슨,T.J. 밀러"
185,배틀쉽,2012-04-11,16545921500,0.002,16545921500,2241687,2241687,736,53109,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,액션",피터 버그,"리암 니슨,테일러 키치,알렉산더 스카르가드,브룩클린 데커,리한나"
186,악의 연대기,2015-05-14,17361815332,0.002,17361815332,2192525,2192525,776,64351,한국,한국,(주)비에이엔터테인먼트,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,김태강,정원중,지대한,장준녕,정준원"
187,강남 1970,2015-01-21,17718699499,0.002,17718699499,2192276,2192276,841,53304,한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경"
188,맨 오브 스틸,2013-06-13,17092964063,0.002,17092964063,2182227,2182227,998,55514,미국,미국,,워너브러더스 코리아(주),12세이상관람가,SF,잭 스나이더,"헨리 카빌,에이미 아담스,러셀 크로우,케빈 코스트너"
189,로건,2017-03-01,18391060223,0.002,18391060223,2169109,2169109,954,68709,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",제임스 맨골드,"휴 잭맨,패트릭 스튜어트,보이드 홀브룩,스테판 머천트,리차드 E. 그랜트,에릭 라 살,엘리스 닐"
190,원더 우먼,2017-05-31,17468588886,0.002,17468588886,2165401,2165401,1034,57818,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",팻티 젠킨스,"갤 가돗,로빈 라이트,크리스 파인,데이빗 듈리스,코니 닐슨,엘레나 아나야"
191,나의 사랑 나의 신부,2014-10-08,16636404305,0.002,16636404305,2141155,2141155,629,69684,한국,한국,필름모멘텀,씨네그루(주)다우기술,15세이상관람가,"멜로/로맨스,코미디",임찬상,"조정석,신민아,윤정희,이상희,전예원,조아라,김광수,김보미,김선하,김은비,박주운,신영일,배성우,라미란,윤문식,황정민,서강준,김형욱,김근영,고규필"
192,겟 아웃,2017-05-17,17433699775,0.002,17433699775,2138400,2138400,945,56547,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),미스터리,스릴러,드라마",조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래들리 휘트포드,캐서린 키너"
193,굿바이 싱글,2016-06-29,16913282195,0.002,16913282195,2108561,2108561,841,56390,한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리"
194,몽타주,2013-05-16,15002458500,0.001,15002458500,2095592,2095592,544,53195,한국,한국,(주)미인픽쳐스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,정근섭,"엄정화,김상경,송영창,조희봉,정해균,유승목,이정환,조한기,고해성,허정은,홍종성,김윤태,이준혁,오대환,기주봉"
195,논스톱,2014-02-27,15201693640,0.001,16066549940,1965384,2084482,582,55630,미국,"미국,프랑스",,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,자움 콜렛 세라,"리암 니슨,줄리안 무어,미쉘 독커리,앤슨 마운트,존 아브라함스,스쿳 맥네이리"
196,내부자들: 디 오리지널,2015-12-31,16973885275,0.002,16973885275,2083999,2083999,838,47139,한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명"
197,인투 더 스톰,2014-08-28,16158055332,0.002,16158055332,2078825,2078825,585,45906,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,스릴러",스티븐 쿼일,"리차드 아미티지,사라 웨인 콜리스,제레미 섬터"
198,뷰티 인사이드,2015-08-20,16155795131,0.002,16155795131,2054297,2054297,648,52682,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,최용민,이미도,신동미,김시은,유재상,오상철,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,이진성,공민정,고규필"
199,혹성탈출: 종의 전쟁,2017-08-15,16854482778,0.002,16854482778,2051315,2051315,1017,44543,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,드라마,SF",맷 리브스,"앤디 서키스,우디 해럴슨,스티브 잔,주디 그리어,타이 올슨,채드 룩,티모시 웨버,마이클 아담스웨이트,라우로 차트랜드,스티브 바란칙"
200,봉이 김선달,2016-07-06,16227052642,0.002,16227052642,2051277,2051277,942,51418,한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희"
201,노아,2014-03-20,15514373500,0.001,15514373500,2026594,2026594,952,56722,미국,미국,,씨제이이앤엠(주),15세이상관람가,"어드벤처,드라마,판타지",대런 아로노프스키,"러셀 크로우,엠마 왓슨,로건 레먼,안소니 홉킨스,제니퍼 코넬리"
202,테이큰 3,2015-01-01,16102014000,0.001,16102014000,2006561,2006561,616,39748,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,범죄,스릴러",올리비에 메가턴,"리암 니슨,팜케 얀센,매기 그레이스,존 그리스,포레스트 휘테커"
203,레버넌트: 죽음에서 돌아온 자,2016-01-14,16065245130,0.001,16065245130,2001885,2001885,967,54857,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"어드벤처,드라마",알레한드로 곤잘레스 이냐리투,"레오나르도 디카프리오,톰 하디"
204,남자가 사랑할 때,2014-01-22,14499208800,0.001,14499208800,1977522,1977522,531,40962,한국,한국,"(주)사나이픽처스,필름트레인",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,드라마",한동욱,"황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아"
205,루시,2014-09-03,16468076039,0.002,16468076039,1974893,1974893,641,44585,미국,"미국,프랑스",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,액션,뤽 베송,"스칼렛 요한슨,모건 프리먼,최민식"
206,애나벨 : 인형의 주인,2017-08-10,15527492238,0.001,15527492238,1934270,1934270,1006,35103,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),데이비드 F. 샌드버그,"스테파니 시그만,알리시아 벨라 베일리,미란다 오토,탈리타 베이트먼"
207,컨저링 2,2016-06-09,15759374229,0.001,15759374229,1928605,1928605,640,45816,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),제임스 완,"베라 파미가,패트릭 윌슨,프란카 포텐테,프란시스 오코너,스털링 제린스"
208,터보,2013-07-25,13116737000,0.001,13116737000,1924414,1924414,634,28783,미국,미국,,씨제이이앤엠(주),전체관람가,애니메이션,데이빗 소렌,"라이언 레놀즈,폴 지아마티,마이클 페나,사무엘 L. 잭슨,루이스 구즈만,스눕 독,미쉘 로드리게즈"
209,수어사이드 스쿼드,2016-08-03,15874111188,0.001,15874111188,1898220,1898220,823,29512,미국,미국,,워너브러더스 코리아(주),15세이상관람가,액션,데이비드 에이어,"윌 스미스,자레드 레토,마고 로비,스콧 이스트우드,카라 델러비인,제이 코트니,조엘 킨나만,비올라 데이비스,제이 헤르난데즈,애덤 비치,카렌 후쿠하라,커먼,벤 애플렉"
210,오늘의 연애,2015-01-14,14924654487,0.001,14924654487,1891993,1891993,709,47237,한국,한국,(주)팝콘에프앤엠,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디",박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미"
211,코리아,2012-05-03,13448848500,0.001,13448848500,1872681,1872681,537,49679,한국,한국,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",씨제이이앤엠(주),12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학,허승,홍혜림,박지연,유영기,천우희,주영호,김재화,김원해,이한위,김인우,장리우,이주실"
212,연애의 온도,2013-03-21,13798864446,0.001,13798864446,1865195,1865195,567,57847,한국,한국,(주)뱅가드스튜디오,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"멜로/로맨스,코미디",노덕,"이민기,김민희,최무성,라미란,장영준,정여진,조치언,박명규,권유진,박병은,하연수,김강현"
213,지.아이.조 2,2013-03-28,14457048500,0.001,14457048500,1855917,1855917,766,62627,미국,"미국,캐나다",파라마운트 픽쳐스,씨제이이앤엠(주),15세이상관람가,"액션,어드벤처,SF",존 추,"이병헌,브루스 윌리스,드웨인 존슨,채닝 테이텀,애드리앤 팰리키,레이 스티븐슨,레이 파크"
214,노무현입니다,2017-05-25,14556517612,0.001,14556517612,1855149,1855149,775,61327,한국,한국,영화사 풀,"CGV아트하우스,영화사 풀",12세이상관람가,다큐멘터리,이창재,"노무현,이상호"
215,집으로 가는 길,2013-12-11,13048519745,0.001,13048519745,1854625,1854625,740,42893,한국,한국,"씨제이이앤엠(주),(주)다세포클럽",씨제이이앤엠(주),15세이상관람가,드라마,방은진,"전도연,고수,류태호,조승연,최민철,조수정,박윤희,박인영,이태범,강명찬,이후빈,신창수,최성택,최원기,허준석,이언정,이정은,김미경,김진상,김현민,김현철,배성우,이동휘,장광,김해곤,박형수"
216,나의 PS 파트너,2012-12-06,13896958616,0.001,13896958616,1831737,1831737,552,39254,한국,한국,나의PS파트너 문화산업전문회사,씨제이이앤엠(주),청소년관람불가,"멜로/로맨스,코미디",변성현,"지성,김아중,신소율,강경준,김성오,정수영,문지윤,김보미,지은,최은두,박준기,신해철,이미소,김보연"
217,007 스펙터,2015-11-11,14302132030,0.001,14302132030,1820842,1820842,1105,51941,영국,"영국,미국",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,어드벤처,범죄,스릴러",샘 멘데스,"다니엘 크레이그,레아 세이두,크리스토프 왈츠,모니카 벨루치"
218,분노의 질주: 더 맥시멈,2013-05-22,13210338042,0.001,13210338042,1790916,1790916,657,44371,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,저스틴 린,"빈 디젤,드웨인 존슨,폴 워커,미셸 로드리게즈"
