개봉일람 검색,,,,,,,,,,,,,,,,,
검색조건:[조회기간:2011년~2018년 대표국적:전체 영화구분:전체 영화유형:개봉영화],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
"1,804 ",하늘이 보내준 딸,비자이,,(주)포커스엔터테인먼트,(주)싸이더스,2012-04-19,개봉영화,장편,인도,107 ,113583500,"16,875 ",36596500,"5,230 ",가족,전체관람가,상업영화
"1,805 ",잉투기,엄태화,한국영화아카데미,,CGV아트하우스,2013-11-14,개봉영화,장편,한국,94 ,119852600,"16,859 ",66335100,"9,002 ",액션,15세이상관람가,다양성영화
"1,806 ",비스트 앵콜 콘서트  3D,손석,(주)에스비에스콘텐츠허브,,(주)에스비에스콘텐츠허브,2012-02-29,개봉영화,장편,한국,75 ,171432000,"16,844 ",48488000,"4,554 ",공연,전체관람가,상업영화
"1,807 ",명왕성,신수원,"(주)에스에이치필름,준필름",,(주)싸이더스,2013-07-11,개봉영화,장편,한국,78 ,114536500,"16,828 ",49686500,"7,067 ",드라마,15세이상관람가,다양성영화
"1,808 ",주문은 토끼입니까?? ~디어 마이 시스터~,하시모토 히로유키,,(주)애니플러스,(주)애니플러스,2018-01-18,개봉영화,장편,일본,84 ,121079000,"16,655 ",37499000,"4,935 ",애니메이션,전체관람가,상업영화
"1,809 ",여배우는 오늘도,문소리,(주)영화사 연두 ,,(주)메타플레이 ,2017-09-14,개봉영화,장편,한국,46 ,137010300,"16,646 ",100364500,"11,662 ",드라마,15세이상관람가,다양성영화
"1,810 ",산타바바라,조성규,(주)영화사 조제,,(주)나이너스엔터테인먼트,2014-07-16,개봉영화,장편,한국,101 ,125565919,"16,626 ",64686419,"8,432 ",멜로/로맨스,15세이상관람가,다양성영화
"1,811 ",호비와 동화나라 대모험,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2016-12-08,개봉영화,장편,일본,81 ,115425000,"16,620 ",35453000,"5,053 ",애니메이션,전체관람가,상업영화
"1,812 ",7년-그들이 없는 언론,김진혁,한국탐사저널리즘센터,,(주)인디플러그,2017-01-12,개봉영화,장편,한국,105 ,129175200,"16,577 ",71790700,"8,985 ",다큐멘터리,12세이상관람가,다양성영화
"1,813 ",오드토머스,스티븐 소머즈,,(주)히스토리필름,(주)영화사 빅,2014-08-27,개봉영화,장편,미국,165 ,123233800,"16,555 ",44567500,"5,700 ",액션,15세이상관람가,상업영화
"1,814 ",내 이야기!!,카와이 하야토,,(주)오렌지옐로우하임,(주)영화사오원,2018-04-12,개봉영화,장편,일본,143 ,141565800,"16,467 ",59019100,"6,908 ",멜로/로맨스,12세이상관람가,다양성영화
"1,815 ",바르다가 사랑한 얼굴들,"아녜스 바르다,제이알",,(주)영화사 진진,(주)영화사 진진,2018-06-14,개봉영화,장편,프랑스,53 ,134711834,"16,466 ",95675434,"11,382 ",다큐멘터리,전체관람가,다양성영화
"1,816 ",아기곰 보보 구출 대작전,라스무스 A. 실버르센,,(주)컴퍼니엘,와이드 릴리즈(주),2018-04-25,개봉영화,장편,노르웨이,207 ,117475900,"16,447 ",21412600,"2,679 ",애니메이션,전체관람가,상업영화
"1,817 ",가구야공주 이야기,다카하타 이사오,,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2014-06-04,개봉영화,장편,일본,77 ,125582300,"16,439 ",54022900,"6,841 ",애니메이션,전체관람가,상업영화
"1,818 ",마돈나,신수원,준필름,,(주)리틀빅픽쳐스,2015-07-02,개봉영화,장편,한국,65 ,127237400,"16,385 ",69122300,"8,631 ",드라마,청소년관람불가,다양성영화
"1,819 ",허블 3D,토니 마이어스,"워너브러더스사㈜,아이맥스스페이스",,씨제이이앤엠(주),2011-05-05,개봉영화,장편,캐나다,8 ,120681000,"16,369 ",69317000,"8,994 ",다큐멘터리,전체관람가,상업영화
"1,820 ",빅 배드 폭스,벤자민 레너,,(주)스마일이엔티,(주)스마일이엔티,2017-11-30,개봉영화,장편,프랑스,219 ,120614100,"16,340 ",29164800,"3,802 ",애니메이션,전체관람가,다양성영화
"1,821 ",리틀 폭스,갈수영,,예지림엔터테인먼트,예지림엔터테인먼트,2016-06-23,개봉영화,장편,중국,150 ,119098500,"16,204 ",21834700,"2,731 ",애니메이션,전체관람가,다양성영화
"1,822 ",순교,김상철,파이오니아21,,파이오니아21,2015-08-13,개봉영화,장편,한국,5 ,116019000,"16,202 ",22727500,"3,240 ",다큐멘터리,전체관람가,다양성영화
"1,823 ",링스,하비에르 구티에레즈,,(주)다자인소프트,(주)다자인소프트,2017-04-06,개봉영화,장편,미국,123 ,135470800,"16,199 ",31997500,"3,740 ",공포(호러),15세이상관람가,상업영화
"1,824 ",예전부터 계속 좋아했어 ~고백실행위원회~,야나기자와 테츠야,,(주)엔케이컨텐츠,(주)디스테이션,2016-09-29,개봉영화,장편,일본,77 ,120601500,"16,187 ",44643000,"5,755 ",애니메이션,전체관람가,상업영화
"1,825 ",위 베어 베어스: 베이비 베어스,매니 에르난데스,,터너코리아 유한회사,(주)팝엔터테인먼트,2018-05-24,개봉영화,장편,미국,301 ,125617200,"16,136 ",27555800,"3,156 ",애니메이션,전체관람가,다양성영화
"1,826 ",베이트,킴블 렌달,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2013-08-08,개봉영화,장편,호주,59 ,108522500,"16,091 ",36014000,"5,317 ",공포(호러),15세이상관람가,상업영화
"1,827 ",셀마,에바 두버네이,,찬란,찬란,2015-07-23,개봉영화,장편,미국,48 ,117488324,"16,029 ",71685524,"9,357 ",드라마,12세이상관람가,다양성영화
"1,828 ",스파이 게임,마이클 앱티드,,와이즈앤와이드엔터테인먼트(주),메가박스중앙(주)플러스엠,2017-09-14,개봉영화,장편,영국,203 ,122840172,"15,986 ",55357172,"6,990 ",액션,15세이상관람가,상업영화
"1,829 ",십계: 구원의 길,알렉상드르 아반치니,,씨네그루(주)키다리이엔티,씨네그루(주)키다리이엔티,2017-04-13,개봉영화,장편,브라질,97 ,104079500,"15,974 ",31527000,"4,524 ",드라마,전체관람가,다양성영화
"1,830 ",매직키드 보보,니잠 라작,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2017-03-01,개봉영화,장편,말레이시아,219 ,119693200,"15,968 ",18904200,"2,288 ",애니메이션,전체관람가,다양성영화
"1,831 ",더 웨이브,로아 우타우,,(주)히스토리필름,(주)팝엔터테인먼트,2016-07-13,개봉영화,장편,노르웨이,140 ,124772321,"15,890 ",38028721,"4,731 ",액션,12세이상관람가,다양성영화
"1,832 ",아기돼지 3형제와 쿵푸랜드,유위,,(주)히스토리필름,와이드 릴리즈(주),2018-02-01,개봉영화,장편,중국,154 ,103627100,"15,885 ",11042000,"1,443 ",애니메이션,전체관람가,상업영화
"1,833 ",어바웃 리키,조나단 드미,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-03,개봉영화,장편,미국,123 ,118503900,"15,867 ",65677000,"8,381 ",드라마,15세이상관람가,상업영화
"1,834 ",로코왕국의 전설: 엘프킹을 찾아서,위성준,,(주)시네마천국,"(주)마인스 엔터테인먼트,(유)영화사 화수분",2014-06-26,개봉영화,장편,중국,178 ,105367100,"15,846 ",23260900,"3,008 ",애니메이션,전체관람가,다양성영화
"1,835 ",키즈모노가타리 II : 열혈편,신보 아키유키,,(주)애니플러스,(주)박수엔터테인먼트,2016-10-20,개봉영화,장편,일본,69 ,122123000,"15,800 ",52167000,"6,573 ",애니메이션,15세이상관람가,상업영화
"1,836 ",웨스턴 리벤지,크리스티안 레브링,,(주)시네마리퍼블릭,(주)영화사 빅,2014-10-30,개봉영화,장편,덴마크,117 ,119414000,"15,671 ",50448100,"6,374 ",액션,청소년관람불가,다양성영화
"1,837 ",모스트 원티드 맨,안톤 코르빈,,(주)드림웨스트픽쳐스,"(주)드림웨스트픽쳐스,(주)인벤트스톤",2014-08-07,개봉영화,장편,영국,27 ,127325100,"15,654 ",90757500,"11,163 ",스릴러,청소년관람불가,다양성영화
"1,838 ",일루셔니스트,실뱅 쇼메,,(주)에스와이코마드,(주)에스와이코마드,2011-06-16,개봉영화,장편,프랑스,17 ,121470100,"15,589 ",100974100,"12,654 ",애니메이션,전체관람가,다양성영화
"1,839 ",런던 블러바드,윌리엄 모나한,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2012-09-20,개봉영화,장편,미국,131 ,107401000,"15,539 ",56035500,"8,170 ",범죄,15세이상관람가,상업영화
"1,840 ",토니스토리2: 고철왕국의 친구들,"토마스 보덴스타인,마커스 하먼",,(주)아펙스 엔터테인먼트,(주)박수엔터테인먼트,2018-06-13,개봉영화,장편,독일,268 ,114496600,"15,539 ",16477600,"2,108 ",애니메이션,전체관람가,다양성영화
"1,841 ",이다,파웰 파울리코우스키,,시네마 뉴원,시네마 뉴원,2015-02-18,개봉영화,장편,폴란드,34 ,118657345,"15,493 ",68830545,"8,690 ",드라마,15세이상관람가,다양성영화
"1,842 ",아메리칸 파이: 19금 동창회,"존 허위츠,헤이든 쉬로스버그",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-08-09,개봉영화,장편,미국,117 ,113072000,"15,431 ",47566500,"6,164 ",코미디,청소년관람불가,상업영화
"1,843 ",볼츠와 블립 ,피터 레페니오티스,"(주)레드로버,툰박스 엔터테인먼트",,씨제이이앤엠(주),2012-02-23,개봉영화,장편,한국,61 ,161329000,"15,386 ",43956000,"4,113 ",애니메이션,전체관람가,상업영화
"1,844 ",극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,야노 히로유키,,얼리버드,와이드 릴리즈(주),2014-06-19,개봉영화,장편,일본,235 ,104193000,"15,382 ",15614300,"2,135 ",애니메이션,전체관람가,다양성영화
"1,845 ",배드 지니어스,나타우트 푼프리야,,주식회사 더쿱,(주)팝엔터테인먼트,2017-11-02,개봉영화,장편,태국,200 ,120082336,"15,319 ",67369136,"8,285 ",스릴러,15세이상관람가,다양성영화
"1,846 ",아스테릭스: 신들의 전당,"루이 클리시,알렉상드르 아스티에",,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2015-04-30,개봉영화,장편,프랑스,104 ,108464000,"15,315 ",39258600,"5,139 ",애니메이션,전체관람가,상업영화
"1,847 ",꼬마 유령,알랑 그스포너,,(주)스마일이엔티,(주)영화사오원,2015-06-11,개봉영화,장편,독일,176 ,110213300,"15,276 ",25780300,"3,466 ",판타지,전체관람가,다양성영화
"1,848 ",아이 인 더 스카이,개빈 후드,,판씨네마(주),판씨네마(주),2016-07-14,개봉영화,장편,영국,205 ,116603200,"15,258 ",54966300,"6,999 ",전쟁,12세이상관람가,상업영화
"1,849 ",아무도 머물지 않았다,아쉬가르 파르하디,,(주)씨에이씨엔터테인먼트,(주)씨에이씨엔터테인먼트,2013-12-26,개봉영화,장편,프랑스,26 ,114641500,"15,252 ",82955000,"10,483 ",드라마,15세이상관람가,다양성영화
"1,850 ",스톤,존 커랜,,(유)조이앤컨텐츠그룹,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-10-06,개봉영화,장편,미국,77 ,116295000,"15,241 ",51204000,"6,305 ",드라마,청소년관람불가,상업영화
"1,851 ",비우티풀,알레한드로 곤잘레스 이냐리투,,필라멘트픽쳐스,필라멘트픽쳐스,2011-10-13,개봉영화,장편,스페인,21 ,118874100,"15,213 ",90636600,"11,299 ",드라마,청소년관람불가,다양성영화
"1,852 ",토마스와 친구들: 잃어버린 왕관,롭 실베스트리,,씨제이이앤엠(주),씨제이이앤엠(주),2014-11-13,개봉영화,장편,영국,110 ,110482700,"15,202 ",21878400,"2,803 ",애니메이션,전체관람가,상업영화
"1,853 ",스턱 인 러브,조쉬 분,,(주)올라잇 픽쳐스,(주)앤드플러스미디어웍스,2014-02-20,개봉영화,장편,미국,46 ,105165000,"15,147 ",39313000,"5,703 ",코미디,15세이상관람가,다양성영화
"1,854 ",호비와 무지개 오아시스 대모험,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2017-09-07,개봉영화,장편,일본,103 ,104470000,"15,101 ",21292000,"2,985 ",애니메이션,전체관람가,상업영화
"1,855 ",슈퍼소닉,매트 화이트크로스,,주식회사 씨네룩스,주식회사 씨네룩스,2016-11-24,개봉영화,장편,영국,38 ,126445600,"15,074 ",83961100,"9,837 ",다큐멘터리,15세이상관람가,다양성영화
"1,856 ",블루 발렌타인,데릭 시엔프랜스,,(주)영화사 진진,(주)영화사 진진,2012-05-31,개봉영화,장편,미국,15 ,114887500,"15,053 ",97175000,"12,216 ",드라마,청소년관람불가,다양성영화
"1,857 ",뷰티풀 라이,필리프 팔라도,,씨제이이앤엠(주),씨제이이앤엠(주),2015-03-26,개봉영화,장편,미국,91 ,112466200,"15,050 ",60091500,"7,900 ",드라마,12세이상관람가,다양성영화
"1,858 ",호비와 후후의 대모험: 무지개꽃을 구하라,히라바야시 이사무,,(주)머스트씨무비,(주)머스트씨무비,2013-09-26,개봉영화,장편,일본,45 ,97632500,"15,050 ",30519000,"4,385 ",애니메이션,전체관람가,상업영화
"1,859 ",라이드 : 나에게로의 여행,헬렌 헌트,,(주)티캐스트,(주)티캐스트,2015-07-16,개봉영화,장편,미국,29 ,123755700,"15,039 ",97098900,"11,239 ",드라마,15세이상관람가,다양성영화
"1,860 ",행복한 사전,이시이 유야,,씨네그루(주)다우기술,씨네그루(주)다우기술,2014-02-20,개봉영화,장편,일본,25 ,117177600,"15,017 ",99422500,"12,484 ",드라마,전체관람가,다양성영화
"1,861 ",치코와 리타,"페르난도 트루에바,하비에르 마리스칼,토노 에란도",,찬란,찬란,2012-01-05,개봉영화,장편,스페인,17 ,119535100,"15,001 ",103124600,"12,495 ",애니메이션,15세이상관람가,다양성영화
"1,862 ",고양이를 빌려드립니다,오기가미 나오코,,(주)영화사 조제,(주)영화사 조제,2012-12-13,개봉영화,장편,일본,9 ,115430500,"14,983 ",95190000,"11,976 ",드라마,12세이상관람가,다양성영화
"1,863 ",캡틴 판타스틱,매트 로스,,주식회사 더쿱,주식회사 더쿱,2016-11-30,개봉영화,장편,미국,86 ,114188400,"14,976 ",60702800,"7,649 ",드라마,15세이상관람가,다양성영화
"1,864 ",버진 스노우,그렉 아라키,,(주)드림웨스트픽쳐스,(주)영화사오원,2014-12-10,개봉영화,장편,프랑스,126 ,113076354,"14,964 ",53829954,"7,042 ",미스터리,청소년관람불가,다양성영화
"1,865 ",로즈,짐 쉐리단,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2017-04-12,개봉영화,장편,아일랜드,125 ,113253541,"14,955 ",56567241,"7,246 ",멜로/로맨스,15세이상관람가,다양성영화
"1,866 ",MB의 추억,김재환,(주)비투이,,스튜디오느림보,2012-10-18,개봉영화,장편,한국,5 ,112375100,"14,954 ",78323600,"9,844 ",다큐멘터리,15세이상관람가,다양성영화
"1,867 ",하나와 미소시루,아쿠네 토모아키,,(주)영화사 진진,(주)영화사 진진,2016-04-27,개봉영화,장편,일본,104 ,112899538,"14,925 ",68959238,"8,790 ",가족,전체관람가,다양성영화
"1,868 ",사랑이 이긴다,민병훈,민병훈필름,,(주)리틀빅픽쳐스,2015-09-10,개봉영화,장편,한국,48 ,114003900,"14,916 ",39686100,"4,988 ",가족,15세이상관람가,다양성영화
"1,869 ",토이 가디언즈,"신우,황연",,그린나래미디어(주),(주)팝엔터테인먼트,2018-03-15,개봉영화,장편,중국,136 ,114322000,"14,857 ",26180900,"3,225 ",애니메이션,전체관람가,다양성영화
"1,870 ",이민자,제임스 그레이,,주식회사 씨네룩스,주식회사 씨네룩스,2015-09-03,개봉영화,장편,미국,36 ,115862023,"14,807 ",69433323,"8,385 ",드라마,15세이상관람가,다양성영화
"1,871 ",나쁜놈은 죽는다,손호,"(주)케이알씨지,(유)조이앤시네마",,"TCO(주)더콘텐츠온,(유)조이앤시네마",2016-02-04,개봉영화,장편,중국,138 ,115698700,"14,767 ",25446500,"2,972 ",코미디,15세이상관람가,상업영화
"1,872 ","하늘을 나는 강아지, 비포와 친구들",이도 엔젤,,영화사 마농(주),(주)팝엔터테인먼트,2014-03-13,개봉영화,장편,이스라엘,142 ,99524400,"14,746 ",23210300,"3,072 ",애니메이션,전체관람가,상업영화
"1,873 ",데드폴,스테판 루조비츠키,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-01-23,개봉영화,장편,미국,82 ,101887000,"14,744 ",45079000,"6,658 ",범죄,청소년관람불가,상업영화
"1,874 ",비거 스플래쉬,루카 구아다그니노,,찬란,찬란,2016-08-03,개봉영화,장편,이탈리아,40 ,116255129,"14,711 ",77902529,"9,495 ",멜로/로맨스,청소년관람불가,다양성영화
"1,875 ",쇼를 사랑한 남자,스티븐 소더버그,,(주)티캐스트콘텐츠허브,(주)티캐스트콘텐츠허브,2013-10-09,개봉영화,장편,미국,26 ,112817792,"14,696 ",95643792,"12,054 ",드라마,청소년관람불가,다양성영화
"1,876 ",콜로설,나초 비갈론도,,"(주)아이아스플러스,주식회사 풍경소리",(주)드림팩트엔터테인먼트,2017-04-20,개봉영화,장편,캐나다,305 ,114967100,"14,687 ",47376900,"5,753 ",액션,12세이상관람가,다양성영화
"1,877 ",안녕?! 오케스트라,이철하,"(주)MBC,(주)꿈꾸는 오아시스,센미디어 ",,(주)영화사 진진,2013-11-28,개봉영화,장편,한국,49 ,91780500,"14,665 ",59867500,"8,722 ",다큐멘터리,전체관람가,다양성영화
"1,878 ",아마데우스 감독판,밀로스 포만,,시네마 뉴원,시네마 뉴원,2015-10-29,개봉영화,장편,미국,31 ,118519400,"14,628 ",88887400,"10,523 ",드라마,12세이상관람가,다양성영화
"1,879 ",피노키오의 모험,안나 저스티스,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-09-18,개봉영화,장편,독일,54 ,105233300,"14,557 ",20845200,"2,769 ",애니메이션,전체관람가,상업영화
"1,880 ",호비와 매직 아일랜드,"카와마타 히로시,히로 타카시마",,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2018-06-06,개봉영화,장편,일본,114 ,104495500,"14,533 ",22192000,"2,923 ",애니메이션,전체관람가,상업영화
"1,881 ",엘리펀트 송,찰스 비네임,,(주)엣나인필름,(주)엣나인필름,2015-06-11,개봉영화,장편,캐나다,49 ,113991400,"14,488 ",74816800,"9,027 ",미스터리,15세이상관람가,다양성영화
"1,882 ",공정사회,이지승,시네마팩토리,,(주)엣나인필름,2013-04-18,개봉영화,장편,한국,37 ,97348000,"14,461 ",38234500,"5,377 ",드라마,청소년관람불가,다양성영화
"1,883 ",어느 하녀의 일기,브누와 쟉꼬,,(주)수키픽쳐스,주식회사 씨네룩스,2015-08-06,개봉영화,장편,프랑스,37 ,110710900,"14,436 ",74383400,"9,274 ",드라마,청소년관람불가,다양성영화
"1,884 ",갬빗,마이클 호프만,,(주)수키픽쳐스,(주)나이너스엔터테인먼트,2013-11-28,개봉영화,장편,미국,94 ,95213128,"14,426 ",56324128,"8,253 ",코미디,15세이상관람가,다양성영화
"1,885 ",춘몽,장률,(주)률필름,,"(주)프레인글로벌,(주)스톰픽쳐스코리아",2016-10-13,개봉영화,장편,한국,96 ,114343700,"14,423 ",58604500,"7,095 ",드라마,15세이상관람가,다양성영화
"1,886 ",무수단,구모,골든타이드픽처스(주),,오퍼스픽쳐스,2016-03-03,개봉영화,장편,한국,228 ,112188400,"14,386 ",27050200,"3,369 ",미스터리,15세이상관람가,상업영화
"1,887 ",리틀 보이,알레한드로 몬테베르드,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2015-12-10,개봉영화,장편,미국,143 ,100778300,"14,343 ",29966300,"3,931 ",드라마,12세이상관람가,다양성영화
"1,888 ",터치 오브 라이트,장영치,,"(주)메인타이틀픽쳐스,영화사 마농(주)",씨너스엔터테인먼트(주),2013-03-14,개봉영화,장편,대만,128 ,94716000,"14,323 ",59967000,"9,098 ",드라마,전체관람가,다양성영화
"1,889 ",브링 홈: 아버지의 땅,텐진 체탄 초클리,(주)버디필름,,(주)드림팩트엔터테인먼트,2016-09-01,개봉영화,장편,한국,36 ,111180200,"14,289 ",68202000,"8,502 ",다큐멘터리,전체관람가,다양성영화
"1,890 ",라스트 홈,라민 바흐러니,,"(주)비트윈에프앤아이,(주)엠씨엠씨",(주)브리즈픽처스,2016-04-07,개봉영화,장편,미국,163 ,109954000,"14,241 ",54577800,"6,928 ",드라마,15세이상관람가,다양성영화
"1,891 ",개구리왕국 2,펭 페이,,예지림엔터테인먼트,예지림엔터테인먼트,2017-03-23,개봉영화,장편,중국,171 ,99741700,"14,236 ",17001300,"2,131 ",애니메이션,전체관람가,다양성영화
"1,892 ",하나와 앨리스: 살인사건,이와이 슌지,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-27,개봉영화,장편,일본,67 ,112007100,"14,226 ",59834800,"7,437 ",애니메이션,12세이상관람가,다양성영화
"1,893 ",아티스트 봉만대,봉만대,골든타이드픽처스(주),,씨너스엔터테인먼트(주),2013-08-29,개봉영화,장편,한국,131 ,93817000,"14,188 ",43885000,"6,787 ",코미디,청소년관람불가,상업영화
"1,894 ",아노말리사,"찰리 카우프만,듀크 존슨",,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-30,개봉영화,장편,미국,93 ,115387000,"14,153 ",78595500,"9,486 ",애니메이션,청소년관람불가,다양성영화
"1,895 ",해피 어게인,커트 보엘커,,(주)엣나인필름,(주)엣나인필름,2018-03-28,개봉영화,장편,미국,98 ,104133900,"14,134 ",66054500,"8,693 ",드라마,15세이상관람가,다양성영화
"1,896 ",중2병이라도 사랑이 하고 싶어! 극장판,이시하라 타츠야,,(주)머스트씨무비,(주)머스트씨무비,2014-02-06,개봉영화,장편,일본,32 ,90261500,"14,064 ",36739000,"5,616 ",애니메이션,전체관람가,다양성영화
"1,897 ",테레즈 라캥,찰리 스트레이턴,,판씨네마(주),판씨네마(주),2014-07-10,개봉영화,장편,미국,48 ,106422700,"14,063 ",68862800,"8,788 ",범죄,청소년관람불가,다양성영화
"1,898 ",자객 섭은낭,허우 샤오시엔,,(주)영화사 진진,(주)영화사 진진,2016-02-04,개봉영화,장편,대만,52 ,108695700,"13,938 ",63270100,"7,625 ",사극,12세이상관람가,다양성영화
"1,899 ",네이든,모건 매튜스,,(주)블룸즈베리리소시스리미티드,(주)블룸즈베리리소시스리미티드,2015-06-25,개봉영화,장편,영국,49 ,105900400,"13,912 ",62296200,"7,841 ",드라마,12세이상관람가,다양성영화
"1,900 ",프로즌 그라운드,스콧 워커,"그린스톤픽처스,에멋 플라 필름",(주)소나무픽쳐스,(주)박수엔터테인먼트,2014-02-06,개봉영화,장편,미국,88 ,103660500,"13,853 ",30913500,"4,085 ",스릴러,청소년관람불가,상업영화
"1,901 ",위로공단,임흥순,반달,,(주)엣나인필름,2015-08-13,개봉영화,장편,한국,34 ,103598000,"13,827 ",75447100,"9,644 ",다큐멘터리,15세이상관람가,다양성영화
"1,902 ",호비와 엄마나무섬의 비밀,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2015-07-02,개봉영화,장편,일본,74 ,94353500,"13,802 ",30044000,"4,250 ",애니메이션,전체관람가,다양성영화
"1,903 ",미스터 터너,마이크 리,,(주)영화사 진진,(주)영화사 진진,2015-01-22,개봉영화,장편,영국,29 ,105909883,"13,792 ",77523683,"9,588 ",드라마,청소년관람불가,다양성영화
"1,904 ",산이 울다,래리 양,,"(주)영화공간,(주)가보차",(주)팝엔터테인먼트,2016-05-25,개봉영화,장편,중국,107 ,104827700,"13,791 ",37604000,"4,620 ",드라마,15세이상관람가,다양성영화
"1,905 ",헤이츠,마크 톤데라이,,(주)더블앤조이픽쳐스,(주)나이너스엔터테인먼트,2012-12-06,개봉영화,장편,미국,75 ,94348000,"13,747 ",35434000,"4,791 ",스릴러,15세이상관람가,상업영화
"1,906 ",토니 에드만,마렌 아데,,그린나래미디어(주),그린나래미디어(주),2017-03-16,개봉영화,장편,독일,64 ,109972800,"13,677 ",76505000,"9,187 ",드라마,청소년관람불가,다양성영화
"1,907 ",오직 사랑뿐,엠마 아산테,,찬란,(주)팝엔터테인먼트,2018-02-08,개봉영화,장편,영국,105 ,106539718,"13,580 ",66763118,"8,093 ",드라마,12세이상관람가,다양성영화
"1,908 ",헤어드레서,도리스 되리에,,(주)포커스엔터테인먼트,(주)영화사 진진,2011-07-14,개봉영화,장편,독일,13 ,106421000,"13,533 ",88046500,"10,899 ",드라마,15세이상관람가,다양성영화
"1,909 ",해피 홀리데이,"앤디 해밀턴,가이 젠킨",,(주)유로커뮤니케이션,(주)스톰픽쳐스코리아,2015-05-14,개봉영화,장편,영국,102 ,102633800,"13,529 ",42765500,"5,366 ",코미디,12세이상관람가,다양성영화
"1,910 ",피치 퍼펙트,제이슨 무어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-03-28,개봉영화,장편,미국,143 ,90720000,"13,520 ",33990000,"4,972 ",코미디,15세이상관람가,상업영화
"1,911 ",피막,반종 피산다나쿤,,(주)타임픽쳐스,와이드 릴리즈(주),2014-09-25,개봉영화,장편,태국,170 ,101978400,"13,484 ",41048400,"5,190 ",코미디,12세이상관람가,다양성영화
"1,912 ",와와의 학교 가는 날,펑천,,(주)마노엔터테인먼트,(주)마노엔터테인먼트,2016-10-27,개봉영화,장편,중국,48 ,70906800,"13,477 ",18812200,"2,997 ",드라마,전체관람가,다양성영화
"1,913 ",원피스 3D : 밀짚모자 체이스,사토 히로유키,,얼리버드,(주)미디어데이,2012-01-26,개봉영화,단편,일본,111 ,91648500,"13,475 ",19565500,"2,668 ",애니메이션,전체관람가,상업영화
"1,914 ",터미네이터 2 : 심판의 날 감독판,제임스 카메론,,(유)조이앤컨텐츠그룹,(주)팝엔터테인먼트,2013-11-14,개봉영화,장편,미국,47 ,96779000,"13,426 ",44482000,"6,048 ",액션,15세이상관람가,상업영화
"1,915 ",임을 위한 행진곡,박기복,"주식회사 무당벌레필름,(주)알앤오엔터테인먼트",,(주)알앤오엔터테인먼트,2018-05-16,개봉영화,장편,한국,160 ,101338200,"13,424 ",20317200,"2,329 ",드라마,15세이상관람가,다양성영화
"1,916 ",베스트 오브 미,마이클 호프만,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-06-18,개봉영화,장편,미국,118 ,100915600,"13,399 ",44377500,"5,714 ",드라마,15세이상관람가,상업영화
"1,917 ","알로, 슈티",대니 분,,(주)콘텐츠판다,"(주)프레인글로벌,(주)콘텐츠판다",2015-07-02,개봉영화,장편,프랑스,33 ,107360900,"13,373 ",79465800,"9,634 ",코미디,12세이상관람가,다양성영화
"1,918 ",황금시대,허안화,,판씨네마(주),판씨네마(주),2014-10-16,개봉영화,장편,중국,58 ,98582100,"13,371 ",55091000,"7,180 ",드라마,12세이상관람가,다양성영화
"1,919 ",토마스와 친구들: 그레이트 레이스,데이비드 스토튼,,KBS 미디어,와이드 릴리즈(주),2017-11-30,개봉영화,장편,영국,249 ,98705400,"13,314 ",24695000,"3,097 ",애니메이션,전체관람가,상업영화
"1,920 ",나이트폴,주현량,,(주)고맙습니다 사랑합니다,(주)나이너스엔터테인먼트,2012-09-27,개봉영화,장편,홍콩,108 ,99076000,"13,307 ",40680500,"5,303 ",액션,청소년관람불가,상업영화
