,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median,rate
73,주토피아|주먹왕 랄프|심슨 가족|퓨쳐라마,20121802,리치 무어,감독,5621428,2,2810714,1.55936964,1.92513525,2.45936964,4.92513525,e
74,PMC|더 테러 라이브|리튼|아나모픽,10004291,김병우,감독,5583596,1,5583596,1.546103654,1.911869264,2.446103654,4.911869264,e
75,닥터 스트레인지|인보카머스|살인소설|지구가 멈추는 날|엑소시즘 오브 에밀리 로즈|헬레이저 5,10038217,스콧 데릭슨,감독,5570404,3,1856801.333,1.541477811,1.907243421,2.441477811,4.907243421,e
76,쥬라기 월드: 폴른 킹덤|쥬라기 월드|안전은 보장할 수 없음,20121453,콜린 트레보로우,감독,5546792,1,5546792,1.533198141,1.898963751,2.433198141,4.898963751,e
77,"사바하|시간위의 집|검은 사제들|광해, 왕이 된 남자|특수본|바다|12번째 보조사제|버스|인도에서 온 말리|오오단편극장 - 이학주 배우전|어둑시니: 두려움을 먹는 자|제14회 미쟝센 단편영화제 전년도 수상작1|1월 단편 상상극장-해피 뉴 스타|제13회 미쟝센 단편영화제 심야의 절대구타 360|제13회 미쟝센 단편영화제 절대악몽1",10060462,장재현,감독,5440945,1,5440945,1.496082344,1.861847954,2.396082344,4.861847954,e
78,독전: 익스텐디드 컷|독전|경성학교: 사라진 소녀들|26년|페스티발|천하장사 마돈나|아라한 장풍대작전|안녕! 유에프오|품행제로|신라의 달밤|커밍 아웃,10058049,이해영,감독,5400169,2,2700084.5,1.481784029,1.847549639,2.381784029,4.847549639,e
79,블랙 팬서|오스카 그랜트의 어떤 하루,20185181,라이언 쿠글러,감독,5399070,1,5399070,1.481398659,1.847164269,2.381398659,4.847164269,e
80,스타워즈: 깨어난 포스|스타트렉 다크니스|슈퍼 에이트|스타 트렉: 더 비기닝|미션 임파서블 3,10091417,J.J. 에이브럼스,감독,5351268,3,1783756,1.464636641,1.830402251,2.364636641,4.830402251,e
81,곰돌이 푸 다시 만나 행복해|월드 워 Z|머신건 프리처 감독판|머신건 프리처|007 퀀텀 오브 솔러스|연을 쫓는 아이|스트레인저 댄 픽션|스테이|네버랜드를 찾아서|몬스터 볼,10024440,마크 포스터,감독,5264165,2,2632082.5,1.434093524,1.799859134,2.334093524,4.799859134,e
82,퍼스트 맨|라라랜드|위플래쉬,10009698,다미엔 차젤레,감독,5134142,2,2567071,1.388500287,1.754265898,2.288500287,4.754265898,e
83,아메리칸 메이드|엣지 오브 투모로우|페어 게임 |점퍼|미스터 & 미세스 스미스|본 아이덴티티|고,10010452,더그 라이만,감독,5098683,2,2549341.5,1.376066406,1.741832016,2.276066406,4.741832016,e
84,인사이드 아웃|업,10086198,피트 닥터,감독,4968687,1,4968687,1.330482637,1.696248247,2.230482637,4.696248247,e
85,나우 유 씨 미 2|지.아이.조 2|저스틴 비버 : 네버 세이 네버|스텝 업 3D|스텝업 2 : 더 스트리트,10068277,존 추,감독,4956030,2,2478015,1.326044395,1.691810005,2.226044395,4.691810005,e
86,광대들(가제)|허삼관|바람과 함께 사라지다|의형제|속눈썹|탐정 반기평 |프렌드쉽|우정|김옹의 시험,20030155,김주호,감독,4897551,1,4897551,1.305538431,1.671304042,2.205538431,4.671304042,e
87,토르: 라그나로크|이글 대 샤크,10079273,타이카 와이티티,감독,4857152,1,4857152,1.291372313,1.657137924,2.191372313,4.657137924,e
88,"올드마린보이|나의 아들, 나의 어머니|님아, 그 강을 건너지 마오|시바, 인생을 던져",20179941,진모영,감독,4808667,2,2404333.5,1.274370798,1.640136408,2.174370798,4.640136408,e
89,테이큰 3|테이큰 2|콜롬비아나|트랜스포터-라스트 미션|엑시트,10051267,올리비에 메가턴,감독,4767903,3,1589301,1.260076691,1.625842301,2.160076691,4.625842301,e
90,주토피아|라푼젤|볼트,20112152,바이론 하워드,감독,4703245,1,4703245,1.237404029,1.603169639,2.137404029,4.603169639,e
91,박물관이 살아있다 : 비밀의 무덤|당신 없는 일주일 |인턴쉽|리얼 스틸|브로큰 데이트|박물관이 살아있다 2|박물관이 살아있다!|핑크 팬더|열두명의 웬수들 |우리 방금 결혼했어요|빅 팻 라이어,10037350,숀 레비,감독,4681344,2,2340672,1.22972433,1.59548994,2.12972433,4.59548994,e
92,반드시 잡는다|브로커|기술자들|공모자들,20125826,김홍선,감독,4656861,3,1552287,1.22113924,1.58690485,2.12113924,4.58690485,e
93,"아가씨|아가씨(확장판)|비밀은 없다|무뢰한|고진감래|설국열차|스토커|박쥐|미쓰 홍당무|싸이보그지만 괜찮아|소년, 천국에 가다|친절한 금자씨|한국 영화의 르네상스|쓰리, 몬스터 '컷'|올드보이|철없는 아내와 파란만장한 남편 그리고 태권소녀|복수는 나의 것|휴머니스트|공동경비구역 JSA|아나키스트|3인조|달은...해가 꾸는 꿈|A Rose Reborn|V|청출어람|파란만장|믿거나 말거나, 찬드라의 경우|심판|<3월 단편 상상극장-파킹 찬스>|쓰리 몬스터|여섯 개의 시선",10029381,박찬욱,감독,4655800,2,2327900,1.220767195,1.586532805,2.120767195,4.586532805,e
94,"고산자, 대동여지도|더 파이브|깡철이|전설의 주먹|로맨틱 헤븐|글러브|퀴즈왕|이끼|주유소 습격사건 2|용서는 없다|백야행|모던보이|신기전|강철중: 공공의 적 1-1|뜨거운 것이 좋아|싸움|궁녀|권순분여사 납치사건|지금 사랑하는 사람과 살고 있습니까?|황진이|아들|거룩한 계보|한반도|오로라 공주|공공의 적 2|혈의 누|귀신이 산다|달마야, 서울 가자|아라한 장풍대작전|바람의 전설|그녀를 믿지 마세요|실미도|천년호|거울속으로|나비|선생 김봉두|광복절 특사|밀애|재밌는 영화|공공의 적|피도 눈물도 없이|신라의 달밤|선물|불후의 명작|순애보|실락원|생과부 위자료 청구소송|올가미|투캅스 2|맥주가 애인보다 좋은 7가지 이유|손톱|마누라 죽이기|투캅스|미스터 맘마|스무살까지만 살고 싶어요|열아홉의 절망끝에 부르는 하나의 사랑노래|누가 용의 발톱을 보았는가|나는 날마다 일어선다|행복은 성적순이 아니잖아요|달콤한 신부들|춤추는 딸|주리",10000783,강우석,감독,4596547,3,1532182.333,1.199989824,1.565755434,2.099989824,4.565755434,e
95,스타트렉 비욘드|분노의 질주: 더 맥시멈|분노의 질주: 언리미티드|분노의 질주: 더 오리지널|피니싱 더 게임|패스트 앤 퓨리어스 도쿄 드리프트|아나폴리스|베터 럭 투마로우,10061132,저스틴 린,감독,4569902,3,1523300.667,1.190646617,1.556412228,2.090646617,4.556412228,e
