,filmoNames,peopleCd,peopleNm,repRoleNm
29,"더 펜션|범죄도시|시간위의 집|중2라도 괜찮아|프리즌|비정규직 특수요원|역모-반란의 시대|날, 보러와요|그날의 분위기|내부자들: 디 오리지널|내부자들|살인의뢰|워킹걸|아빠를 빌려드립니다|용의자|미스터 고|7번방의 선물|특수본|체포왕|그대를 사랑합니다|황해|불량남녀|미스터좀비|아저씨|부산|국가대표|작전|마린보이|스토리 오브 와인|중천|사랑 따윈 필요 없어|그때 그 사람들|안녕! 유에프오|독개구리",10066926,조재윤,배우
30,지구인의 연애론,20308991,백재호,배우
31,역모-반란의 시대|나탈리,20100017,김지훈,배우
32,지구인의 연애론,20309009,임투철,배우
33,더 펜션|괴물들|아기와 나|커튼콜|해적: 바다로 간 산적|일대일|남쪽으로 간다|백야,20124322,이이경,배우
34,"허스토리|꾼|원라인|당신, 거기 있어줄래요|어떤살인|막걸스|밤의 여왕|소원",20231467,안세하,배우
35,지구인의 연애론|나의 절친 악당들,20210387,샘 오취리,배우
36,지구인의 연애론,20308990,김연진,배우
37,꾼,10091208,나나,배우
38,로마서 8:37|엄마는 창녀다|페어러브|좋은 배우|불한당들,10058133,이현호,배우
39,채비|쇠파리|연평해전|짓|베사메무쵸,10006557,김희정,배우
40,진범|채비|히말라야|퇴마: 무녀굴|돈 크라이 마미|가비|네버엔딩 스토리|글러브|이끼|검은 집|가발|4인용 식탁|빤스 벗고 덤벼라 ,10053708,유선,배우
41,채비|바라던 바다|그랑프리|굿모닝 프레지던트|가족의 탄생|엄마|도마 안중근|인어 공주|이혼하지 않은 여자|나의 아내를 슬프게 하는 것들|1990년 자유부인|푸른계절의 열기|질투|두 여인|깃발없는 기수|아침에 퇴근하는 여자|유혹,10001486,고두심,배우
42,킹메이커: 선거판의 여우(가제)|패러사이트|미옥|PMC|임금님의 사건수첩|성난 변호사|끝까지 간다|우리 선희|누구의 딸도 아닌 해원|내 아내의 모든 것|화차|체포왕|쩨쩨한 로맨스|옥희의 영화|파주|로맨틱 아일랜드|밤과 낮|우리 동네|잔혹한 출근|손님은 왕이다|사과|에로틱 번뇌 보이|알포인트|인어 공주|국화꽃 향기|쇼쇼쇼(Show Show Show)|보스 상륙 작전(Boss X File)|좋은사람있으면 소개시켜줘|서프라이즈|일단뛰어|첩첩산중|히치하이킹|어떤 방문|최진성 단편 콜렉션 1|최진성 단편 콜렉션 2,10055970,이선균,배우
43,국가부도의 날|미옥|굿바이 싱글|차이나타운|관상|도둑들|도둑들 영화를 만들다|이층의 악당|모던보이|열한번째 엄마|좋지 아니한가|바람피기 좋은 날|타짜|분홍신|얼굴 없는 미녀|YMCA야구단|쓰리|쓰리 메모리즈|신라의 달밤|닥터 K|투 타이어드 투 다이|찜|미스터 콘돔|닥터 봉|남자는 괴로워|영원한 제국|블루 시걸|첫사랑|잃어버린 너|오세암(극영화)|어른들은 몰라요|그 마지막 겨울|수렁에서 건진 내 딸 2|깜보|즐거운 나의 집,10006380,김혜수,배우
44,너의 결혼식|18: 우리들의 성장 느와르|설인|의형제,10005693,차엽,배우
45,폭력의 씨앗|프랑스 영화처럼|조류인간|오하이오 삿포로|도화지|고양이를 돌려줘|검지손가락,10036672,소이,배우
46,1987|폭력의 씨앗|특별시민|지옥도|메이드 인 차이나,20283730,정재윤,배우
47,폭력의 씨앗|재회|양치기들|복무태만,20283729,이가섭,배우
48,기묘한 가족|침묵|용순|특별시민|차이나타운|방황하는 칼날|우아한 거짓말|오오단편극장 - 이학주 배우전,20195643,이수경,배우
49,"힘을 내요, 미스터 리(가제)|배심원들|더 펜션|침묵|파파좀비|출중한 여자|썸남썸녀|숙희|48미터|숫호구|커플즈|오프 로드|피는 멈추지 않는다|말로는 힘들어|신동양 수-퍼맨|괜찮아 괜찮아|무서운 이야기",10067417,조한철,배우
50,극한직업|부라더|원라인|재심|공조|럭키|도리화가|뷰티 인사이드|베테랑|패션왕|타짜-신의 손|우는 남자|청춘예찬|집으로 가는 길|밤의 여왕|감시자들|남쪽으로 튀어,20186095,이동휘,배우
51,메소드|살인의뢰|이쁜 것들이 되어라|수상한 이웃들|고死 두 번째 이야기: 교생실습|굿바이 마이 스마일|나쁜 마음|세이버,20133942,윤승아,배우
52,레슬러|내게 남은 사랑을|강낭콩 한살이,20282651,이예원,배우
53,내게 남은 사랑을,20068824,양홍석,배우
54,내게 남은 사랑을|황구|할머니는 일학년,20192366,권소현,배우
55,꽃찌: 독이 있는 사랑,20308970,박가현,배우
56,,20308969,양지,배우
57,꽃손,10005396,김이안,배우
58,"시바, 인생을 던져|캐릭터|플레이",20113534,수현,배우
59,"인랑|챔피언|더 테이블|춘몽|최악의 하루|사냥|극적인 하룻밤|필름시대사랑|해무(海霧)|군도: 민란의 시대|동창생|경복|스파이|환상속의 그대|남쪽으로 튀어|코리아|모험|다시 태어나고 싶어요, 안양에|바다 쪽으로, 한 뼘 더|푸른 강은 흘러라|동행|사십구일째 날|물리수업|달세계여행|기린과 아프리카|촌철살인|평범한 날들|할 수 있는 자가 구하라|귀 鬼|AMONG ",20090447,한예리,배우
60,양아치 느와르,20308892,곽지유,배우
61,미쓰백,20308910,윤송아,배우
62,미쓰백,20308890,조민준,배우
63,미쓰백,20308909,김시아,배우
64,주피터스 문,10037008,솜버 예거,배우
65,"고산자, 대동여지도|부산행|연평해전",20278549,김율호,배우
66,오장군의 발톱,20308829,조혜정,배우
67,나의 연기 워크샵,20288870,서원경,배우
68,나의 연기 워크샵|파스카|내가 같이 있어 줄게|붉은 손|백서,20211126,성호준,배우
69,나의 연기 워크샵,20288851,김강은,배우
70,나의 연기 워크샵,20288850,이관헌,배우
71,나의 연기 워크샵|혜경궁 홍씨|파스카|야간비행|굿바이 보이|새는 폐곡선을 그린다|춘정|갈증,20113355,김소희,배우
72,"1987|대립군|서부전선|내 심장을 쏴라|의궤, 8일간의 축제 3D|화이: 괴물을 삼킨 아이|백프로|애플(Apple)",10049790,여진구,배우
73,"리틀 포레스트|배심원들|1987|여배우는 오늘도|특별시민|니 부모 얼굴이 보고 싶다|아가씨|아가씨(확장판)|나쁜 나라|필름시대사랑|자유의 언덕|만신|관능의 법칙|스파이|분노의 윤리학|다른나라에서|마당을 나온 암탉|하녀|하하하|날아라 펭귄|우리 생애 최고의 순간|태왕사신기|가족의 탄생|여교수의 은밀한 매력|사과|사랑해, 말순씨|한국 영화의 르네상스|효자동 이발사|바람난 가족|오아시스|박하사탕|동행|최고의 감독|여배우는 오늘도|여배우|디 엔드|호랑이 푸로젝트|사랑의 힘|외계의 제 19호 계획|봄산에|블랙컷|오오단편극장 - 안녕하세요 전, 여빈입니다 |서울독립영화제2015  심야상영2|서울독립영화제 2015 특별단편 2|AISFF2015 특별상영 & 미스터쿠퍼 |AISFF2015 아시프 랑데부: 최고의 감독 & 동행|CWFF 단편모음1|FALLing in JEONJU - 코리아시네마스케이프 단편|2015 GSFF 단편 초청 1|제31회 인천시네마테크 -인생은 아름다워|제14회 미쟝센 단편 영화제 Direct-actress  |아카이브의 유령들",10026732,문소리,배우
74,"물괴|마녀|레전드|광대들(가제)|1987|남한산성|브이아이피|히치하이크|썬키스트 패밀리|머니백|올레|용의자|연소, 석방, 폭발, 대적할 이가 없는|뒷담화: 감독이 미쳤어요|가비|간기남|의뢰인|혈투|맨발의 꿈|10억|우리 집에 왜 왔니|작전|나의 친구, 그의 아내|바보|헨젤과 그레텔|세븐 데이즈|러브토크|남극일기|귀여워|가족|보스 상륙 작전(Boss X File)|그녀의 연기 |2001 이매진",10029595,박희순,배우
75,킹메이커: 선거판의 여우(가제)|생일(가제)|1987|니 부모 얼굴이 보고 싶다|우상|살인자의 기억법 : 새로운 기억|살인자의 기억법|불한당: 나쁜 놈들의 세상|루시드 드림|조작|서부전선|나의 독재자|소원|감시자들|스파이|타워|해결사|용서는 없다|여행자|내 사랑 내 곁에|해운대|강철중: 공공의 적 1-1|싸움|그놈 목소리|열혈남아|사랑을 놓치다|공공의 적 2|역도산|실미도|영매-산자와 죽은자의 화해|광복절 특사|오아시스|공공의 적|나도 아내가 있었으면 좋겠다|단적비연수|새는 폐곡선을 그린다|박하사탕|송어|유령|처녀들의 저녁식사|카멜리아,10035772,설경구,배우
76,인랑|포크레인|대립군|모범생|더 킹|아수라|심장박동 조작극|조선마술사|강남 1970|캐치미|주성치와 함께라면|탈|무직비디오 ,20195029,이가경,배우
77,심장박동 조작극|양치기들|동주,20235406,윤정일,배우
78,야경 : 죽음의 택시|월하|바람,20290149,정성훈,배우
79,"월하|악녀|아빠는 딸|당신, 거기 있어줄래요|울보|잡아야 산다",20253678,윤진영,배우
80,야경 : 죽음의 택시|십이야: 깊고 붉은 열두 개의 밤 Chapter1|에덴|남자사용설명서|투 가이즈|내 여자친구를 소개합니다,20157273,정보름,배우
81,야경 : 죽음의 택시|데스트랩|소녀괴담|스케치|48미터|노크|자칼이 온다|뭘 또 그렇게까지|나의 노래는,10069019,주민하,배우
82,빈센트|약장수|사랑에도 저작권이 있나요?|나는 아빠다|나탈리|사람을 찾습니다|몽정기|실제상황|노랑머리|트릴,20148026,김기연,배우
83,"빈센트|청춘학당 : 풍기문란 보쌈 야사|야관문: 욕망의 꽃|비욘드 3D|커플즈|더 바디|소설, 영화와 만나다",20133917,배슬기,배우
84,빈센트|욕망의 독: 중독|신이 보낸 사람|애비|은밀하게 위대하게|공소시효|남자 태어나다|달마야 놀자|짱|앉은뱅이꽃|채널 식스 나인|피아노맨|아름다운 청년 전태일|우리들의 일그러진 영웅,10089395,홍경인,배우
85,메리 크리스마스 미스터 모|죄 많은 소녀|흔들리는 물결|경성학교: 사라진 소녀들|찌라시: 위험한 소문|소월길|걱정말아요,20212187,고원희,배우
86,메리 크리스마스 미스터 모,20286749,오정환,배우
87,"강철비|밀정|바이바이바이|중고, 폴|캐치볼",20270289,원진아,배우
88,강철비|청야|네모난원|원더풀 라디오|마을금고 연쇄습격사건|전설의 고향|라디오 스타,10087638,안미나,배우
89,강철비|순정|부러진 화살|인연|꼬리치는 남자|고마워 미안해,10005877,김지호,배우
90,종로3가역2번출구,20266773,김찬형,배우
91,종로3가역2번출구,20266829,손하경,배우
92,산상수훈|군함도,20281391,설준수,배우
93,산상수훈|녹화중이야,20274149,최현우,배우
94,산상수훈,20281390,박창준,배우
95,산상수훈|롱타임노씨|우리 동네|박쥐|뱅!뱅!,20166593,탁우석,배우
96,산상수훈,20281371,오경원,배우
97,산상수훈|미처몰랐던건|우리들의 일기|개진상,20281389,정준영,배우
98,산상수훈,20281370,최이선,배우
99,"돌아온다|뫼비우스|신세계|완득이|체포왕|혜화, 동|글러브|식객2 : 김치전쟁|킬 미|7급 공무원|멋진 하루|신기전|강철중: 공공의 적 1-1|황진이|누가 그녀와 잤을까?|손님은 왕이다|DMZ, 비무장지대|중독|서프라이즈|세이예스|카니발",20289190,리우진,배우
100,돌아온다|오피스|유령,20197786,손수현,배우
101,그렌델|깡치,20231686,김태현,배우
102,1987|신과함께-죄와 벌|해무(海霧)|미인도,20196246,김기태,배우
103,리틀 포레스트|1987|아가씨|아가씨(확장판)|문영|락 아웃|문영 단편|오오단편극장 – 김태리 배우 특별전,20201026,김태리,배우
104,"탐정: 리턴즈|신과함께-인과 연|신과함께-죄와 벌|쓰리 썸머 나잇|후궁 : 제왕의 첩|고양이: 죽음을 보는 두 개의 눈|로맨틱 헤븐|반가운 살인자|카페 서울|국가대표 완결판-못 다한 이야기|국가대표|달콤한 거짓말|동거, 동락|후회하지 않아|아파트|사과|오감도",10003967,김동욱,배우
105,증인|신과함께-인과 연|신과함께-죄와 벌|영주|눈길|특별수사: 사형수의 편지|우아한 거짓말|늑대소년-확장판|늑대소년|바람과 함께 사라지다|웨딩드레스|방울토마토|마음이...,10006228,김향기,배우
106,인랑|국가부도의 날|불한당: 나쁜 놈들의 세상|이끼|신기전|마지막 선물|강력 3반|실미도|네발가락|화산고|리베라메|꽃을 든 남자|마지막 방위|파트너|어른들은 청어를 굽는다|투 맨|테러리스트|아빠는 보디가드|하몽하몽 서울|해적|하얀전쟁|푸른 옷소매|굿모닝 대통령|청(블루스케치),10088453,허준호,배우
107,인랑|소나기|가려진 시간,20217766,신은수,배우
108,인랑|악인전|기억의 밤|대립군|머니백|연평해전|개들의 전쟁|은교|최종병기 활 감독확장판|최종병기 활|작전|멸공의 횃불,10004099,김무열,배우
