,Unnamed: 0,rank,mname,director,provider,date,country,n_scrn,money,guest,genre,rating,grade,actor
1766,1766,"1,767","불량소녀, 너를 응원해!",도이 노부히로,글뫼 주식회사,2016-09-21,일본,128,140509000,17875,드라마,12세이상관람가,9.08,아리무라 카스미|
1767,1767,"1,768",아이 캔 온리 이매진,"앤드류 어윈,존 어윈","(주)영화사 그램,TCO(주)더콘텐츠온",2018-06-21,미국,156,149456300,17845,드라마,12세이상관람가,7.96,J. 마이클 핀리|매들린 캐롤|트레이스 에드킨스|데니스 퀘이드|
1768,1768,"1,769",셰임,스티브 맥퀸,㈜영화사 백두대간,2013-05-09,영국,34,134649000,17827,드라마,청소년관람불가,8.2,마이클 패스벤더|캐리 멀리건|제임스 뱃지 데일|
1770,1770,"1,771",이별계약,오기환,씨제이이앤엠(주),2013-06-20,한국,63,127495500,17797,멜로/로맨스,12세이상관람가,8.36,펑위옌|바이바이허|장경부|
1771,1771,"1,772",멜랑콜리아,라스 폰 트리에,(주)팝엔터테인먼트,2012-05-17,덴마크,21,131234800,17766,드라마,15세이상관람가,7.66,커스틴 던스트|샤를로뜨 갱스부르|
1772,1772,"1,773",나라타주,유키사다 이사오,(주)팝엔터테인먼트,2018-03-08,일본,146,151711600,17695,멜로/로맨스,15세이상관람가,6.5,마츠모토 준|아리무라 카스미|사카구치 켄타로|
1773,1773,"1,774","괜찮아요, 미스터 브래드",마이크 화이트,"(주)영화사 진진,(주)누리픽쳐스",2017-09-21,미국,135,134945900,17691,드라마,12세이상관람가,8.37,벤 스틸러|
1774,1774,"1,775",스톤,조세래,씨너스엔터테인먼트(주),2014-06-12,한국,148,118376400,17631,액션,15세이상관람가,8.09,조동인|김뢰하|박원상|
1775,1775,"1,776",미라클 프롬 헤븐,패트리시아 리건,유니버설픽쳐스인터내셔널 코리아(유),2016-05-25,미국,92,119875500,17625,드라마,전체관람가,8.27,제니퍼 가너|마틴 헨더슨|카일리 로저스|
1777,1777,"1,778",비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,론 하워드,메가박스중앙(주)플러스엠,2016-10-19,영국,150,140251925,17563,드라마,12세이상관람가,9.05,존 레논|폴 매카트니|조지 해리슨|링고 스타|
1779,1779,"1,780",혼스,알렉산더 아야,(주)팝엔터테인먼트,2014-11-27,미국,166,137324715,17535,판타지,청소년관람불가,7.31,다니엘 래드클리프|주노 템플|
1780,1780,"1,781",인 더 하우스,프랑수아 오종,찬란,2013-07-04,프랑스,25,127454000,17529,스릴러,15세이상관람가,8.33,크리스틴 스콧 토마스|엠마누엘 자이그너|파브리스 루치니|어니스트 움하우어|
1781,1781,"1,782",뚜르: 내 생애 최고의 49일,"임정하,전일우,박형준,김양래",(주)리틀빅픽쳐스,2017-02-01,한국,227,126186700,17449,다큐멘터리,12세이상관람가,9.25,이윤혁|이장훈|윤학병|임영석|이남규|
1782,1782,"1,783",태양을 쏴라,김태식,(유)조이앤시네마,2015-03-19,한국,156,126046400,17444,멜로/로맨스,청소년관람불가,4.06,강지환|윤진서|
1784,1784,"1,785",터치,민병훈,(주)팝엔터테인먼트,2012-11-08,한국,95,100685000,17403,드라마,청소년관람불가,6.79,김지영|유준상|
1785,1785,"1,786",밀리언 웨이즈,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),2014-06-12,미국,194,134249300,17373,코미디,청소년관람불가,7.21,아만다 사이프리드|샤를리즈 테론|리암 니슨|세스 맥팔레인|지오바니 리비시|닐 패트릭 해리스|사라 실버맨|
1786,1786,"1,787",유아 낫 유,조지 C. 울프,(주)마인스 엔터테인먼트,2015-01-21,미국,103,138505400,17372,드라마,15세이상관람가,8.73,힐러리 스웽크|에미 로섬|조쉬 더하멜|
1787,1787,"1,788",두레소리,조정래,(주)명필름,2012-05-10,한국,132,115794000,17362,드라마,12세이상관람가,8.88,김슬기|조아름|함현상|최은영|임하늬|최은혜|
1788,1788,"1,789",홀리 모터스,레오스 카락스,오드,2013-04-04,프랑스,34,134355400,17348,드라마,청소년관람불가,7.54,에바 멘데스|카일리 미노그|드니 라방|에디뜨 스꼽|
1793,1793,"1,794",판타스틱 부니베어,정량,(주)박수엔터테인먼트,2018-03-15,중국,302,120373400,17296,애니메이션,전체관람가,7.12,조연우|신정훈|박상우|오은수|송영인|방지원|
1794,1794,"1,795",아인,모토히로 카츠유키,판씨네마(주),2018-02-28,일본,160,135549900,17287,SF,15세이상관람가,7.65,사토 타케루|아야노 고|
1795,1795,"1,796",앤젤스 셰어: 천사를 위한 위스키,켄 로치,(주)티캐스트,2013-05-16,영국,21,135331671,17257,코미디,15세이상관람가,7.57,로저 알람|존 헨쇼|폴 브래니건|자스민 리긴스|게리 메이틀랜드|윌리엄 루앤|
