,날짜,요일,영화명,매출액,매출액점유율,매출액증감,누적매출액,관객수,관객수증감,누적관객수,스크린수,상영횟수
0,2018년 02월 07일,wed,그것만이 내 세상,"411,245,100",25.4%,"-3,636,400
(-0.9%)","23,746,625,137","55,124","-561
(-1.0%)","2,956,728",860,"3,383"
1,2018년 02월 07일,wed,코코,"194,585,900",12.0%,"6,551,000
(3.5%)","24,613,786,016","26,116","665
(2.6%)","3,125,344",645,"1,788"
2,2018년 02월 07일,wed,인시디어스4: 라스트 키,"176,967,300",10.9%,"-10,198,400
(-5.4%)","3,361,972,364","23,077","-1,304
(-5.3%)","438,027",575,"1,907"
3,2018년 02월 07일,wed,염력,"165,639,100",10.2%,"-58,892,700
(-26.2%)","7,048,428,957","22,656","-7,758
(-25.5%)","935,518",767,"3,116"
4,2018년 02월 07일,wed,신과함께-죄와 벌,"129,356,900",8.0%,"1,566,800
(1.2%)","114,368,698,637","17,338","161
(0.9%)","14,249,983",530,"1,244"
5,2018년 02월 07일,wed,메이즈 러너: 데스 큐어,"104,610,100",6.5%,"3,054,900
(3.0%)","18,480,650,904","13,807","489
(3.7%)","2,248,139",461,995
6,2018년 02월 07일,wed,12 솔져스,"93,849,100",5.8%,"1,975,200
(2.1%)","1,353,740,900","11,751","373
(3.3%)","165,858",202,759
7,2018년 02월 07일,wed,1987,"68,214,600",4.2%,"9,772,000
(16.7%)","57,935,341,645","9,410","1,549
(19.7%)","7,201,219",406,710
8,2018년 02월 07일,wed,더 포리너,"63,424,700",3.9%,"45,531,100
(254.5%)","82,694,300","8,178","5,754
(237.4%)","10,774",156,547
9,2018년 02월 07일,wed,올 더 머니,"35,984,100",2.2%,"1,070,300
(3.1%)","396,512,600","4,802","15
(0.3%)","49,307",224,414
0,2018년 02월 08일,thu,조선명탐정: 흡혈괴마의 비밀,"1,062,977,600",46.8%,"1,061,717,600
(84,263.3%)","1,335,404,800","142,798","142,658
(101,898.6%)","178,444","1,140","5,973"
1,2018년 02월 08일,thu,그것만이 내 세상,"308,552,700",13.6%,"-102,692,400
(-25.0%)","24,055,177,837","41,431","-13,693
(-24.8%)","2,998,159",703,"2,555"
2,2018년 02월 08일,thu,코코,"145,924,500",6.4%,"-48,661,400
(-25.0%)","24,759,710,516","19,310","-6,806
(-26.1%)","3,144,654",504,"1,194"
3,2018년 02월 08일,thu,인시디어스4: 라스트 키,"117,234,300",5.2%,"-59,733,000
(-33.8%)","3,479,206,664","15,372","-7,705
(-33.4%)","453,399",409,913
4,2018년 02월 08일,thu,염력,"123,357,300",5.4%,"-42,281,800
(-25.5%)","7,171,786,257","15,130","-7,526
(-33.2%)","950,648",535,"1,341"
5,2018년 02월 08일,thu,패딩턴 2,"97,195,300",4.3%,"92,907,300
(2,166.7%)","164,076,300","13,670","13,134
(2,450.4%)","21,332",499,"1,333"
6,2018년 02월 08일,thu,신과함께-죄와 벌,"90,890,500",4.0%,"-38,466,400
(-29.7%)","114,459,589,137","12,209","-5,129
(-29.6%)","14,262,192",415,795
7,2018년 02월 08일,thu,메이즈 러너: 데스 큐어,"49,564,200",2.2%,"-55,045,900
(-52.6%)","18,530,215,104","6,486","-7,321
(-53.0%)","2,254,625",208,347
8,2018년 02월 08일,thu,12 솔져스,"45,832,800",2.0%,"-48,016,300
(-51.2%)","1,399,573,700","5,819","-5,932
(-50.5%)","171,677",174,443
9,2018년 02월 08일,thu,더 포리너,"34,737,300",1.5%,"-28,687,400
(-45.2%)","117,431,600","4,420","-3,758
(-46.0%)","15,194",144,443
0,2018년 02월 09일,fri,조선명탐정: 흡혈괴마의 비밀,"1,269,474,076",47.0%,"206,496,476
(19.4%)","2,604,878,876","155,177","12,379
(8.7%)","333,621","1,183","6,142"
1,2018년 02월 09일,fri,그것만이 내 세상,"377,659,976",14.0%,"69,107,276
(22.4%)","24,432,837,813","45,104","3,673
(8.9%)","3,043,263",689,"2,602"
2,2018년 02월 09일,fri,코코,"194,707,500",7.2%,"48,783,000
(33.4%)","24,954,418,016","23,550","4,240
(22.0%)","3,168,204",544,"1,263"
3,2018년 02월 09일,fri,인시디어스4: 라스트 키,"155,069,800",5.7%,"37,835,500
(32.3%)","3,634,276,464","18,715","3,343
(21.7%)","472,114",447,983
4,2018년 02월 09일,fri,신과함께-죄와 벌,"121,781,700",4.5%,"30,891,200
(34.0%)","114,581,370,837","14,392","2,183
(17.9%)","14,276,584",430,841
5,2018년 02월 09일,fri,패딩턴 2,"112,349,800",4.2%,"15,154,500
(15.6%)","276,426,100","14,351","681
(5.0%)","35,683",510,"1,358"
6,2018년 02월 09일,fri,메이즈 러너: 데스 큐어,"62,840,000",2.3%,"13,275,800
(26.8%)","18,593,055,104","7,484","998
(15.4%)","2,262,109",212,361
7,2018년 02월 09일,fri,염력,"59,486,924",2.2%,"-63,870,376
(-51.8%)","7,231,273,181","7,287","-7,843
(-51.8%)","957,935",500,"1,268"
8,2018년 02월 09일,fri,12 솔져스,"56,996,100",2.1%,"11,163,300
(24.4%)","1,456,569,800","6,575","756
(13.0%)","178,252",181,454
9,2018년 02월 09일,fri,더 포리너,"39,062,900",1.4%,"4,325,600
(12.5%)","156,494,500","4,581","161
(3.6%)","19,775",154,459
0,2018년 02월 10일,sat,조선명탐정: 흡혈괴마의 비밀,"2,740,175,669",48.5%,"1,470,701,593
(115.9%)","5,345,054,545","327,600","172,423
(111.1%)","661,221","1,249","6,609"
1,2018년 02월 10일,sat,그것만이 내 세상,"780,789,669",13.8%,"403,129,693
(106.7%)","25,213,627,482","92,722","47,618
(105.6%)","3,135,985",724,"2,767"
2,2018년 02월 10일,sat,코코,"551,412,400",9.8%,"356,704,900
(183.2%)","25,505,830,416","66,167","42,617
(181.0%)","3,234,371",650,"1,633"
3,2018년 02월 10일,sat,패딩턴 2,"349,361,100",6.2%,"237,011,300
(211.0%)","625,787,200","44,831","30,480
(212.4%)","80,514",625,"1,543"
4,2018년 02월 10일,sat,신과함께-죄와 벌,"256,131,600",4.5%,"134,349,900
(110.3%)","114,837,502,437","29,904","15,512
(107.8%)","14,306,488",456,895
5,2018년 02월 10일,sat,인시디어스4: 라스트 키,"219,687,400",3.9%,"64,617,600
(41.7%)","3,853,963,864","26,183","7,468
(39.9%)","498,297",457,942
6,2018년 02월 10일,sat,12 솔져스,"123,943,600",2.2%,"66,947,500
(117.5%)","1,580,513,400","14,287","7,712
(117.3%)","192,539",200,482
7,2018년 02월 10일,sat,메이즈 러너: 데스 큐어,"104,578,400",1.9%,"41,738,400
(66.4%)","18,697,633,504","12,293","4,809
(64.3%)","2,274,402",196,357
8,2018년 02월 10일,sat,염력,"87,696,231",1.6%,"28,209,307
(47.4%)","7,318,969,412","10,545","3,258
(44.7%)","968,480",492,"1,061"
9,2018년 02월 10일,sat,터닝메카드W: 반다인의 비밀 특별판,"54,935,800",1.0%,"46,363,300
(540.8%)","78,820,700","7,108","5,954
(515.9%)","10,525",166,377
0,2018년 02월 11일,sun,조선명탐정: 흡혈괴마의 비밀,"2,526,685,800",48.3%,"-213,489,869
(-7.8%)","7,871,740,345","304,233","-23,367
(-7.1%)","965,454","1,236","6,432"
1,2018년 02월 11일,sun,그것만이 내 세상,"717,972,900",13.7%,"-62,816,769
(-8.0%)","25,931,600,382","84,720","-8,002
(-8.6%)","3,220,705",705,"2,670"
2,2018년 02월 11일,sun,코코,"506,452,500",9.7%,"-44,959,900
(-8.2%)","26,012,282,916","60,799","-5,368
(-8.1%)","3,295,170",642,"1,633"
3,2018년 02월 11일,sun,패딩턴 2,"361,262,000",6.9%,"11,900,900
(3.4%)","987,049,200","45,668","837
(1.9%)","126,182",629,"1,528"
4,2018년 02월 11일,sun,신과함께-죄와 벌,"235,915,500",4.5%,"-20,216,100
(-7.9%)","115,073,417,937","27,634","-2,270
(-7.6%)","14,334,122",449,878
5,2018년 02월 11일,sun,인시디어스4: 라스트 키,"187,006,100",3.6%,"-32,681,300
(-14.9%)","4,040,969,964","22,120","-4,063
(-15.5%)","520,417",453,902
6,2018년 02월 11일,sun,12 솔져스,"113,542,600",2.2%,"-10,401,000
(-8.4%)","1,694,056,000","13,112","-1,175
(-8.2%)","205,651",197,465
7,2018년 02월 11일,sun,메이즈 러너: 데스 큐어,"94,189,000",1.8%,"-10,389,400
(-9.9%)","18,791,822,504","11,051","-1,242
(-10.1%)","2,285,453",193,352
8,2018년 02월 11일,sun,염력,"80,114,300",1.5%,"-7,581,931
(-8.6%)","7,399,083,712","9,654","-891
(-8.4%)","978,134",465,952
9,2018년 02월 11일,sun,터닝메카드W: 반다인의 비밀 특별판,"55,982,000",1.1%,"1,046,200
(1.9%)","134,802,700","7,164","56
(0.8%)","17,689",168,373
0,2018년 02월 12일,mon,조선명탐정: 흡혈괴마의 비밀,"688,680,700",43.8%,"-1,838,005,100
(-72.7%)","8,560,421,045","91,433","-212,800
(-69.9%)","1,056,887","1,165","5,889"
1,2018년 02월 12일,mon,그것만이 내 세상,"214,763,400",13.6%,"-503,209,500
(-70.1%)","26,146,363,782","28,443","-56,277
(-66.4%)","3,249,148",674,"2,510"
2,2018년 02월 12일,mon,코코,"129,901,700",8.3%,"-376,550,800
(-74.4%)","26,142,184,616","17,116","-43,683
(-71.8%)","3,312,286",555,"1,373"
3,2018년 02월 12일,mon,인시디어스4: 라스트 키,"91,854,300",5.8%,"-95,151,800
(-50.9%)","4,132,824,264","11,923","-10,197
(-46.1%)","532,340",422,954
4,2018년 02월 12일,mon,패딩턴 2,"82,234,000",5.2%,"-279,028,000
(-77.2%)","1,069,283,200","11,442","-34,226
(-74.9%)","137,624",517,"1,249"
5,2018년 02월 12일,mon,신과함께-죄와 벌,"78,851,900",5.0%,"-157,063,600
(-66.6%)","115,152,269,837","10,415","-17,219
(-62.3%)","14,344,537",439,919
6,2018년 02월 12일,mon,메이즈 러너: 데스 큐어,"39,711,400",2.5%,"-54,477,600
(-57.8%)","18,831,533,904","5,155","-5,896
(-53.4%)","2,290,608",189,358
7,2018년 02월 12일,mon,12 솔져스,"37,881,600",2.4%,"-75,661,000
(-66.6%)","1,731,937,600","4,814","-8,298
(-63.3%)","210,465",190,476
8,2018년 02월 12일,mon,염력,"25,764,500",1.6%,"-54,349,800
(-67.8%)","7,424,848,212","3,459","-6,195
(-64.2%)","981,593",425,815
9,2018년 02월 12일,mon,더 포리너,"21,031,600",1.3%,"-36,043,200
(-63.2%)","292,696,700","2,674","-3,895
(-59.3%)","35,694",149,399
0,2018년 02월 13일,tue,조선명탐정: 흡혈괴마의 비밀,"673,731,800",40.0%,"-14,948,900
(-2.2%)","9,234,152,845","89,617","-1,816
(-2.0%)","1,146,504","1,161","5,843"
1,2018년 02월 13일,tue,그것만이 내 세상,"215,642,600",12.8%,"879,200
(0.4%)","26,362,006,382","28,725","282
(1.0%)","3,277,873",692,"2,544"
2,2018년 02월 13일,tue,코코,"140,843,300",8.4%,"10,941,600
(8.4%)","26,283,027,916","18,771","1,655
(9.7%)","3,331,057",560,"1,395"
3,2018년 02월 13일,tue,패딩턴 2,"121,095,800",7.2%,"38,861,800
(47.3%)","1,190,379,000","17,214","5,772
(50.4%)","154,838",539,"1,318"
4,2018년 02월 13일,tue,인시디어스4: 라스트 키,"87,310,400",5.2%,"-4,543,900
(-4.9%)","4,220,134,664","11,410","-513
(-4.3%)","543,750",425,951
5,2018년 02월 13일,tue,신과함께-죄와 벌,"84,927,700",5.0%,"6,075,800
(7.7%)","115,237,197,537","11,228","813
(7.8%)","14,355,765",440,926
6,2018년 02월 13일,tue,메이즈 러너: 데스 큐어,"46,946,900",2.8%,"7,235,500
(18.2%)","18,878,480,804","6,105","950
(18.4%)","2,296,713",195,376
7,2018년 02월 13일,tue,12 솔져스,"40,040,300",2.4%,"2,158,700
(5.7%)","1,771,977,900","5,098","284
(5.9%)","215,563",191,476
8,2018년 02월 13일,tue,염력,"27,849,900",1.7%,"2,085,400
(8.1%)","7,452,698,112","3,721","262
(7.6%)","985,314",434,850
9,2018년 02월 13일,tue,리틀 포레스트,"21,524,000",1.3%,"21,524,000
(100.0%)","21,524,000","3,239","3,239
(100.0%)","3,239",15,15
0,2018년 02월 14일,wed,블랙 팬서,"5,055,433,500",65.0%,"5,046,149,500
(54,353.2%)","5,081,266,500","630,461","629,217
(50,580.1%)","633,484","1,449","7,196"
1,2018년 02월 14일,wed,골든슬럼버,"1,234,112,400",15.9%,"1,201,203,700
(3,650.1%)","1,319,478,100","161,564","158,528
(5,221.6%)","170,249",763,"3,654"
2,2018년 02월 14일,wed,조선명탐정: 흡혈괴마의 비밀,"547,907,400",7.0%,"-125,824,400
(-18.7%)","9,782,060,245","72,063","-17,554
(-19.6%)","1,218,567",618,"2,387"
3,2018년 02월 14일,wed,흥부: 글로 세상을 바꾼 자,"335,132,900",4.3%,"335,132,900
(100.0%)","366,450,900","43,694","43,694
(100.0%)","47,544",557,"2,360"
4,2018년 02월 14일,wed,명탐정 코난:감벽의 관,"285,572,800",3.7%,"285,572,800
(100.0%)","295,448,800","41,627","41,627
(100.0%)","42,838",432,820
5,2018년 02월 14일,wed,코코,"76,557,600",1.0%,"-64,285,700
(-45.6%)","26,359,585,516","10,161","-8,610
(-45.9%)","3,341,218",302,454
6,2018년 02월 14일,wed,그것만이 내 세상,"70,674,000",0.9%,"-144,968,600
(-67.2%)","26,432,680,382","9,428","-19,297
(-67.2%)","3,287,301",318,531
7,2018년 02월 14일,wed,패딩턴 2,"53,066,000",0.7%,"-68,029,800
(-56.2%)","1,243,445,000","7,572","-9,642
(-56.0%)","162,410",256,331
8,2018년 02월 14일,wed,신과함께-죄와 벌,"26,125,600",0.3%,"-58,802,100
(-69.2%)","115,263,323,137","3,514","-7,714
(-68.7%)","14,359,279",103,140
9,2018년 02월 14일,wed,인시디어스4: 라스트 키,"11,935,100",0.2%,"-75,375,300
(-86.3%)","4,232,069,764","1,620","-9,790
(-85.8%)","545,370",62,89
0,2018년 02월 15일,thu,블랙 팬서,"5,038,074,700",54.6%,"-17,358,800
(-0.3%)","10,119,341,200","563,855","-66,606
(-10.6%)","1,197,339","1,587","7,779"
1,2018년 02월 15일,thu,골든슬럼버,"1,566,288,200",17.0%,"332,175,800
(26.9%)","2,885,766,300","183,922","22,358
(13.8%)","354,171",822,"3,626"
2,2018년 02월 15일,thu,조선명탐정: 흡혈괴마의 비밀,"1,214,366,900",13.2%,"666,459,500
(121.6%)","10,996,427,145","143,710","71,647
(99.4%)","1,362,277",691,"2,492"
3,2018년 02월 15일,thu,흥부: 글로 세상을 바꾼 자,"537,378,100",5.8%,"202,245,200
(60.3%)","903,829,000","62,908","19,214
(44.0%)","110,452",579,"2,072"
4,2018년 02월 15일,thu,명탐정 코난:감벽의 관,"230,259,700",2.5%,"-55,313,100
(-19.4%)","525,708,500","29,637","-11,990
(-28.8%)","72,475",487,881
5,2018년 02월 15일,thu,코코,"172,114,000",1.9%,"95,556,400
(124.8%)","26,531,699,516","20,771","10,610
(104.4%)","3,361,989",353,517
6,2018년 02월 15일,thu,그것만이 내 세상,"145,924,800",1.6%,"75,250,800
(106.5%)","26,578,605,182","17,402","7,974
(84.6%)","3,304,703",312,485
7,2018년 02월 15일,thu,패딩턴 2,"112,358,700",1.2%,"59,292,700
(111.7%)","1,355,803,700","14,382","6,810
(89.9%)","176,792",282,377
8,2018년 02월 15일,thu,신과함께-죄와 벌,"62,675,000",0.7%,"36,549,400
(139.9%)","115,325,998,137","7,133","3,619
(103.0%)","14,366,412",119,161
9,2018년 02월 15일,thu,위대한 쇼맨,"14,938,000",0.2%,"4,146,100
(38.4%)","11,285,563,400","1,677","306
(22.3%)","1,376,107",36,46
0,2018년 02월 16일,fri,블랙 팬서,"5,113,899,324",48.6%,"75,824,624
(1.5%)","15,233,240,524","562,493","-1,362
(-0.2%)","1,759,832","1,620","7,904"
1,2018년 02월 16일,fri,조선명탐정: 흡혈괴마의 비밀,"1,978,435,030",18.8%,"764,068,130
(62.9%)","12,974,862,175","231,673","87,963
(61.2%)","1,593,950",848,"2,944"
2,2018년 02월 16일,fri,골든슬럼버,"1,924,264,076",18.3%,"357,975,876
(22.9%)","4,810,030,376","223,269","39,347
(21.4%)","577,440",815,"3,514"
3,2018년 02월 16일,fri,흥부: 글로 세상을 바꾼 자,"692,575,000",6.6%,"155,196,900
(28.9%)","1,596,404,000","80,692","17,784
(28.3%)","191,144",568,"1,770"
4,2018년 02월 16일,fri,그것만이 내 세상,"183,524,400",1.7%,"37,599,600
(25.8%)","26,762,129,582","21,790","4,388
(25.2%)","3,326,493",288,429
5,2018년 02월 16일,fri,코코,"164,275,546",1.6%,"-7,838,454
(-4.6%)","26,695,975,062","19,351","-1,420
(-6.8%)","3,381,340",354,502
6,2018년 02월 16일,fri,명탐정 코난:감벽의 관,"143,849,800",1.4%,"-86,409,900
(-37.5%)","669,558,300","17,635","-12,002
(-40.5%)","90,110",442,756
7,2018년 02월 16일,fri,패딩턴 2,"87,294,900",0.8%,"-25,063,800
(-22.3%)","1,443,098,600","10,963","-3,419
(-23.8%)","187,755",280,366
8,2018년 02월 16일,fri,신과함께-죄와 벌,"96,276,100",0.9%,"33,601,100
(53.6%)","115,422,274,237","10,816","3,683
(51.6%)","14,377,228",131,177
9,2018년 02월 16일,fri,위대한 쇼맨,"20,405,400",0.2%,"5,467,400
(36.6%)","11,305,968,800","2,247","570
(34.0%)","1,378,354",42,53
0,2018년 02월 17일,sat,블랙 팬서,"6,544,196,794",51.5%,"1,430,297,470
(28.0%)","21,777,437,318","739,447","176,954
(31.5%)","2,499,279","1,544","7,565"
1,2018년 02월 17일,sat,조선명탐정: 흡혈괴마의 비밀,"2,341,744,428",18.4%,"363,309,398
(18.4%)","15,316,606,603","280,825","49,152
(21.2%)","1,874,775","1,027","3,655"
2,2018년 02월 17일,sat,골든슬럼버,"1,993,410,706",15.7%,"69,146,630
(3.6%)","6,803,441,082","236,581","13,312
(6.0%)","814,021",833,"3,536"
3,2018년 02월 17일,sat,흥부: 글로 세상을 바꾼 자,"661,911,400",5.2%,"-30,663,600
(-4.4%)","2,258,315,400","79,863","-829
(-1.0%)","271,007",627,"1,714"
4,2018년 02월 17일,sat,명탐정 코난:감벽의 관,"272,194,300",2.1%,"128,344,500
(89.2%)","941,752,600","34,887","17,252
(97.8%)","124,997",443,722
5,2018년 02월 17일,sat,코코,"220,901,078",1.7%,"56,625,532
(34.5%)","26,916,876,140","27,213","7,862
(40.6%)","3,408,553",345,488
6,2018년 02월 17일,sat,그것만이 내 세상,"204,150,500",1.6%,"20,626,100
(11.2%)","26,966,280,082","24,904","3,114
(14.3%)","3,351,397",305,469
7,2018년 02월 17일,sat,패딩턴 2,"156,834,900",1.2%,"69,540,000
(79.7%)","1,599,933,500","20,418","9,455
(86.2%)","208,173",290,391
8,2018년 02월 17일,sat,신과함께-죄와 벌,"113,310,200",0.9%,"17,034,100
(17.7%)","115,535,584,437","13,185","2,369
(21.9%)","14,390,413",149,217
9,2018년 02월 17일,sat,위대한 쇼맨,"28,059,500",0.2%,"7,654,100
(37.5%)","11,334,028,300","3,204","957
(42.6%)","1,381,558",51,69
0,2018년 02월 18일,sun,블랙 팬서,"5,263,080,400",54.0%,"-1,281,116,394
(-19.6%)","27,040,517,718","598,424","-141,023
(-19.1%)","3,097,703","1,495","7,172"
1,2018년 02월 18일,sun,조선명탐정: 흡혈괴마의 비밀,"1,677,363,100",17.2%,"-664,381,328
(-28.4%)","16,993,969,703","201,234","-79,591
(-28.3%)","2,076,009","1,014","3,574"
2,2018년 02월 18일,sun,골든슬럼버,"1,428,172,500",14.7%,"-565,238,206
(-28.4%)","8,231,613,582","168,610","-67,971
(-28.7%)","982,631",809,"3,348"
3,2018년 02월 18일,sun,흥부: 글로 세상을 바꾼 자,"423,575,600",4.3%,"-238,335,800
(-36.0%)","2,681,891,000","51,325","-28,538
(-35.7%)","322,332",597,"1,573"
4,2018년 02월 18일,sun,명탐정 코난:감벽의 관,"254,673,400",2.6%,"-17,520,900
(-6.4%)","1,196,426,000","32,920","-1,967
(-5.6%)","157,917",449,709
5,2018년 02월 18일,sun,코코,"184,979,700",1.9%,"-35,921,378
(-16.3%)","27,101,855,840","22,739","-4,474
(-16.4%)","3,431,292",350,488
6,2018년 02월 18일,sun,패딩턴 2,"149,019,600",1.5%,"-7,815,300
(-5.0%)","1,748,953,100","19,341","-1,077
(-5.3%)","227,514",301,406
7,2018년 02월 18일,sun,그것만이 내 세상,"138,608,700",1.4%,"-65,541,800
(-32.1%)","27,104,888,782","16,902","-8,002
(-32.1%)","3,368,299",315,513
8,2018년 02월 18일,sun,신과함께-죄와 벌,"67,591,700",0.7%,"-45,718,500
(-40.3%)","115,603,176,137","7,870","-5,315
(-40.3%)","14,398,283",140,201
9,2018년 02월 18일,sun,위대한 쇼맨,"23,511,400",0.2%,"-4,548,100
(-16.2%)","11,357,539,700","2,656","-548
(-17.1%)","1,384,214",49,72
0,2018년 02월 19일,mon,블랙 팬서,"1,888,135,200",57.0%,"-3,374,945,200
(-64.1%)","28,928,652,918","240,651","-357,773
(-59.8%)","3,338,354","1,314","6,417"
1,2018년 02월 19일,mon,골든슬럼버,"473,886,400",14.3%,"-954,286,100
(-66.8%)","8,705,499,982","62,366","-106,244
(-63.0%)","1,044,997",722,"3,220"
2,2018년 02월 19일,mon,조선명탐정: 흡혈괴마의 비밀,"419,709,000",12.7%,"-1,257,654,100
(-75.0%)","17,413,678,703","56,507","-144,727
(-71.9%)","2,132,516",710,"2,761"
3,2018년 02월 19일,mon,흥부: 글로 세상을 바꾼 자,"147,374,800",4.4%,"-276,200,800
(-65.2%)","2,829,265,800","20,038","-31,287
(-61.0%)","342,370",538,"1,676"
4,2018년 02월 19일,mon,명탐정 코난:감벽의 관,"83,649,400",2.5%,"-171,024,000
(-67.2%)","1,280,075,400","12,054","-20,866
(-63.4%)","169,971",389,663
5,2018년 02월 19일,mon,코코,"63,077,300",1.9%,"-121,902,400
(-65.9%)","27,164,933,140","8,556","-14,183
(-62.4%)","3,439,848",324,498
6,2018년 02월 19일,mon,그것만이 내 세상,"54,190,600",1.6%,"-84,418,100
(-60.9%)","27,159,079,382","7,771","-9,131
(-54.0%)","3,376,070",345,591
7,2018년 02월 19일,mon,패딩턴 2,"45,561,400",1.4%,"-103,458,200
(-69.4%)","1,794,514,500","6,719","-12,622
(-65.3%)","234,233",269,358
8,2018년 02월 19일,mon,신과함께-죄와 벌,"22,635,600",0.7%,"-44,956,100
(-66.5%)","115,625,811,737","3,037","-4,833
(-61.4%)","14,401,320",131,179
9,2018년 02월 19일,mon,불한당: 나쁜 놈들의 세상,"9,945,000",0.3%,"9,945,000
(100.0%)","7,601,047,625","1,865","1,865
(100.0%)","941,921",58,97
0,2018년 02월 20일,tue,블랙 팬서,"1,339,810,000",52.0%,"-548,325,200
(-29.0%)","30,268,462,918","171,156","-69,495
(-28.9%)","3,509,510","1,313","6,371"
1,2018년 02월 20일,tue,골든슬럼버,"363,771,900",14.1%,"-110,114,500
(-23.2%)","9,069,271,882","48,097","-14,269
(-22.9%)","1,093,094",720,"3,115"
2,2018년 02월 20일,tue,조선명탐정: 흡혈괴마의 비밀,"296,878,400",11.5%,"-122,830,600
(-29.3%)","17,710,557,103","40,315","-16,192
(-28.7%)","2,172,831",726,"2,669"
3,2018년 02월 20일,tue,흥부: 글로 세상을 바꾼 자,"126,100,600",4.9%,"-21,274,200
(-14.4%)","2,955,366,400","16,983","-3,055
(-15.2%)","359,353",543,"1,625"
4,2018년 02월 20일,tue,명탐정 코난:감벽의 관,"78,434,800",3.0%,"-5,214,600
(-6.2%)","1,358,510,200","11,466","-588
(-4.9%)","181,437",399,667
5,2018년 02월 20일,tue,코코,"56,664,400",2.2%,"-6,412,900
(-10.2%)","27,221,597,540","7,967","-589
(-6.9%)","3,447,815",321,495
6,2018년 02월 20일,tue,패딩턴 2,"52,331,600",2.0%,"6,770,200
(14.9%)","1,846,846,100","7,861","1,142
(17.0%)","242,094",270,362
7,2018년 02월 20일,tue,리틀 포레스트,"46,692,700",1.8%,"46,692,700
(100.0%)","68,216,700","6,846","6,846
(100.0%)","10,085",35,40
8,2018년 02월 20일,tue,그것만이 내 세상,"45,505,700",1.8%,"-8,684,900
(-16.0%)","27,204,585,082","6,623","-1,148
(-14.8%)","3,382,693",340,565
9,2018년 02월 20일,tue,월요이 사라졌다,"17,183,800",0.7%,"16,204,800
(1,655.2%)","19,170,800","2,449","2,350
(2,373.7%)","2,674",19,19
0,2018년 02월 21일,wed,블랙 팬서,"1,192,046,500",49.8%,"-147,763,500
(-11.0%)","31,460,509,418","150,599","-20,557
(-12.0%)","3,660,109","1,283","6,190"
1,2018년 02월 21일,wed,골든슬럼버,"324,272,900",13.5%,"-39,499,000
(-10.9%)","9,393,544,782","42,786","-5,311
(-11.0%)","1,135,880",689,"2,941"
2,2018년 02월 21일,wed,조선명탐정: 흡혈괴마의 비밀,"269,321,800",11.3%,"-27,556,600
(-9.3%)","17,979,878,903","36,522","-3,793
(-9.4%)","2,209,353",719,"2,706"
3,2018년 02월 21일,wed,50가지 그림자: 해방,"167,851,300",7.0%,"165,464,300
(6,931.9%)","170,238,300","21,009","20,668
(6,061.0%)","21,350",162,816
4,2018년 02월 21일,wed,흥부: 글로 세상을 바꾼 자,"85,728,400",3.6%,"-40,372,200
(-32.0%)","3,041,094,800","11,916","-5,067
(-29.8%)","371,269",491,"1,354"
5,2018년 02월 21일,wed,명탐정 코난:감벽의 관,"61,408,800",2.6%,"-17,026,000
(-21.7%)","1,419,919,000","8,954","-2,512
(-21.9%)","190,391",364,581
6,2018년 02월 21일,wed,패딩턴 2,"49,845,200",2.1%,"-2,486,400
(-4.8%)","1,896,691,300","7,405","-456
(-5.8%)","249,499",249,352
7,2018년 02월 21일,wed,코코,"53,741,000",2.2%,"-2,923,400
(-5.2%)","27,275,338,540","7,397","-570
(-7.2%)","3,455,212",305,471
8,2018년 02월 21일,wed,그것만이 내 세상,"37,822,800",1.6%,"-7,682,900
(-16.9%)","27,242,407,882","5,558","-1,065
(-16.1%)","3,388,251",321,521
9,2018년 02월 21일,wed,리틀 포레스트,"21,636,000",0.9%,"-25,056,700
(-53.7%)","89,852,700","2,740","-4,106
(-60.0%)","12,825",12,12
0,2018년 02월 22일,thu,블랙 팬서,"1,005,111,400",42.5%,"-186,935,100
(-15.7%)","32,465,620,818","127,342","-23,257
(-15.4%)","3,787,451","1,165","5,486"
1,2018년 02월 22일,thu,골든슬럼버,"252,970,300",10.7%,"-71,302,600
(-22.0%)","9,646,515,082","33,505","-9,281
(-21.7%)","1,169,385",624,"2,594"
2,2018년 02월 22일,thu,조선명탐정: 흡혈괴마의 비밀,"224,082,400",9.5%,"-45,239,400
(-16.8%)","18,203,961,303","30,547","-5,975
(-16.4%)","2,239,900",645,"2,369"
3,2018년 02월 22일,thu,월요이 사라졌다,"210,779,900",8.9%,"210,779,900
(100.0%)","229,950,700","26,575","26,575
(100.0%)","29,249",245,"1,099"
4,2018년 02월 22일,thu,셰이프 오브 워터: 사랑의 모양,"176,081,700",7.4%,"174,415,700
(10,469.1%)","242,294,500","22,660","22,473
(12,017.6%)","29,946",252,904
5,2018년 02월 22일,thu,50가지 그림자: 해방,"143,729,100",6.1%,"-24,122,200
(-14.4%)","313,967,400","17,929","-3,080
(-14.7%)","39,279",175,819
6,2018년 02월 22일,thu,흥부: 글로 세상을 바꾼 자,"55,390,300",2.3%,"-30,338,100
(-35.4%)","3,096,485,100","7,630","-4,286
(-36.0%)","378,899",394,870
7,2018년 02월 22일,thu,패딩턴 2,"41,992,500",1.8%,"-7,852,700
(-15.8%)","1,938,683,800","6,333","-1,072
(-14.5%)","255,832",184,232
