,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median
666,더 기버: 기억전달자|솔트|캐치 어 파이어|콰이어트 아메리칸|토끼 울타리|본 콜렉터|리페어 숍|세인트 |해리슨 포드의 긴급명령 |슬리버|패트리어트 게임|죽음의 항해|라스트 지고로,10086425,필립 노이스,감독,107567,1,107567,-0.374094196,-0.008328586,0.525905804,2.991671414
667,더 건맨 : 테이큰 감독 뉴프로젝트|더 건맨|프롬 파리 위드 러브|테이큰|13구역|트랜스포터,10085431,피에르 모렐,감독,107444,1,107444,-0.374137327,-0.008371717,0.525862673,2.991628283
668,단지 세상의 끝|엘리펀트 송|마미|탐엣더팜|로렌스 애니웨이|하트 비트|아이 킬드 마이 마더|칼리지 보이 |AISFF2015 단편 속 자비에 돌란,20115444,자비에 돌란,감독,106745,3,35581.66667,-0.374382435,-0.008616825,0.525617565,2.991383175
669,도희야|11|영향 아래 있는 남자|바람은 소망하는 곳으로 분다,10062231,정주리,감독,106511,1,106511,-0.374464488,-0.008698878,0.525535512,2.991301122
670,프리덤,10045239,피터 쿠센스,감독,106241,1,106241,-0.374559165,-0.008793555,0.525440835,2.991206445
671,더 시그널,10053217,윌리엄 유뱅크,감독,105818,1,105818,-0.374707492,-0.008941882,0.525292508,2.991058118
672,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험,10027387,미야자키 하야오,감독,105650,1,105650,-0.374766402,-0.009000792,0.525233598,2.990999208
673,서부전선|5백만불의 사나이|7급 공무원|인형사|싱글즈,20125818,김익로,감독,104736,1,104736,-0.375086901,-0.009321291,0.524913099,2.990678709
674,베리 굿 걸,10006979,나오미 포너,감독,103625,1,103625,-0.375476479,-0.009710869,0.524523521,2.990289131
675,파도가 지나간 자리|플레이스 비욘드 더 파인즈|블루 발렌타인,20128509,데릭 시엔프랜스,감독,103265,2,51632.5,-0.375602715,-0.009837105,0.524397285,2.990162895
676,크리미널|아이스맨|다니카|화이트 카오스,10041797,아리엘 브로멘,감독,103200,2,51600,-0.375625508,-0.009859897,0.524374492,2.990140103
677,루시드 드림|삶의 향기|마지막 귀갓길,20122844,김준성,감독,102170,1,102170,-0.375986682,-0.010221072,0.524013318,2.989778928
678,님포매니악 감독판 볼룸 1&2|님포매니악 볼륨2|님포매니악 볼륨1|베리만 통과하기|멜랑콜리아|안티크라이스트|그들 각자의 영화관|오! 마이 보스!|만덜레이|도그빌|5개의 장애물|어둠속의 댄서|백치들|브레이킹 더 웨이브|킹덤|유로파|에피데믹|범죄의 요소,10013894,라스 폰 트리에,감독,101672,3,33890.66667,-0.376161309,-0.010395698,0.523838691,2.989604302
679,박스트롤,10081282,그레이엄 애나블,감독,101665,1,101665,-0.376163763,-0.010398153,0.523836237,2.989601847
680,박스트롤,10043454,안소니 스타치,감독,101665,1,101665,-0.376163763,-0.010398153,0.523836237,2.989601847
681,미스 슬로운|베스트 엑조틱 메리골드 호텔 2|베스트 엑조틱 메리골드 호텔|언피니시드|킬샷|프루프|코렐리의 만돌린|세익스피어 인 러브|미세스 브라운 |골든 게이트 |에단 프롬,10067817,존 매든,감독,101606,2,50803,-0.376184452,-0.010418842,0.523815548,2.989581158
682,일대종사|동사서독 리덕스|그들 각자의 영화관|마이 블루베리 나이츠|에로스|2046|왕가위 스폐셜-화양연화|화양연화|부에노스 아이레스 제로 디그리|해피 투게더|타락천사|동사서독 |중경삼림|아비정전|열혈남아,10051499,왕가위,감독,101461,1,101461,-0.376235297,-0.010469687,0.523764703,2.989530313
683,게이트-완결판|게이트|대결|치외법권|따라지: 비열한 거리 무삭제판|따라지 : 비열한 거리|응징자|웨딩스캔들|서유기 리턴즈|4교시 추리영역|못말리는 결혼|내사랑 싸가지|유아독존|동감,20111176,신재호,감독,101173,1,101173,-0.376336286,-0.010570675,0.523663714,2.989429325
684,범죄의 여왕|굿바이 싱글|돌연변이|소셜포비아|족구왕|세이프|질식|녹색물질|고래를 본 날|인디스데이 10월 단편,10002458,권오광,감독,100543,1,100543,-0.376557198,-0.010791588,0.523442802,2.989208412
