rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
28,최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,한국,615,7466976,사극,15세이상관람가,7.92,박해일|류승룡|김무열|문채원|,16.50288644,a,9.212831375,c,0,,11.42832,a,11.42832,a
29,써니,강형철,씨제이이앤엠(주),2011-05-04,한국,472,7328820,드라마,15세이상관람가,9.11,유호정|심은경|강소라|고수희|김민영|홍진희|박진주|이연경|남보라|김보미|민효린|,19.94668544,d,6.28326262,,0,,16.58469,a,16.58469,a
30,스파이더맨: 홈 커밍,존 와츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,미국,1965,7257973,액션,12세이상관람가,8.39,톰 홀랜드|마이클 키튼|,1.451032978,e,7.075271997,,1.775890899,,1.4412,e,1.4412,e
31,1987,장준환,씨제이이앤엠(주),2017-12-27,한국,1299,7231770,드라마,15세이상관람가,9.25,김윤석|하정우|유해진|김태리|박희순|이희준|,19.94668544,d,10.53417441,b,3.619562379,c,16.58469,a,16.58469,a
32,베를린,류승완,씨제이이앤엠(주),2013-01-30,한국,894,7166199,액션,15세이상관람가,7.81,하정우|한석규|류승범|전지현|이경영|,19.94668544,a,9.382094751,c,2.739466056,f,16.58469,a,16.58469,a
33,마스터,조의석,씨제이이앤엠(주),2016-12-21,한국,1501,7150541,액션,15세이상관람가,8.1,이병헌|강동원|김우빈|엄지원|오달수|진경|,19.94668544,c,10.19733329,b,2.048234687,,16.58469,a,16.58469,a
34,터널,김성훈,(주)쇼박스,2016-08-10,한국,1105,7118592,드라마,12세이상관람가,8.37,하정우|배두나|오달수|,7.542282897,d,14.04179458,a,3.619562379,c,9.42794,a,9.42794,a
35,어벤져스,조스 웨던,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,미국,967,7074867,액션,12세이상관람가,8.79,로버트 다우니 주니어|스칼렛 요한슨|크리스 헴스워스|크리스 에반스|마크 러팔로|제레미 레너|사무엘 L. 잭슨|톰 히들스턴|,1.064678122,b,10.95613906,b,1.89915434,,2.36147,e,2.36147,d
36,내부자들,우민호,(주)쇼박스,2015-11-19,한국,1075,7071763,범죄,청소년관람불가,8.99,이병헌|조승우|백윤식|,7.542282897,d,8.817284065,d,2.054657531,,9.42794,a,9.42794,a
37,인천상륙작전,이재한,씨제이이앤엠(주),2016-07-27,한국,1049,7049643,전쟁,12세이상관람가,8.03,이정재|이범수|리암 니슨|진세연|,19.94668544,e,8.309270694,d,1.140694381,,16.58469,a,16.58469,a
